Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,22,5330,41.8,87.7,.477,12.4,33.3,.372,29.4,54.4,.541,20.1,24.7,.813,10.3,33.8,44.1,28.9,7.5,5.8,14.8,23.6,116.2
2,Denver Nuggets,14,3460,42.1,95.1,.443,10.1,29.3,.344,32.0,65.8,.486,20.8,26.6,.782,13.8,36.5,50.3,25.3,6.0,4.9,9.7,22.4,115.0
3,San Antonio Spurs,7,1680,43.1,93.1,.463,7.3,21.7,.338,35.8,71.4,.501,19.4,25.2,.770,11.7,37.7,49.4,23.1,5.0,4.4,8.7,21.2,113.0
4,Los Angeles Clippers,6,1440,39.0,87.3,.447,11.3,31.0,.363,27.7,56.3,.493,23.0,28.2,.815,9.8,29.5,39.3,24.8,7.8,3.3,13.2,24.5,112.3
5,Houston Rockets,11,2665,38.3,86.3,.444,16.1,44.0,.366,22.2,42.3,.524,19.1,25.0,.764,9.9,34.3,44.2,18.8,8.8,5.2,15.0,22.3,111.8
6,Milwaukee Bucks,15,3650,39.4,87.5,.451,12.7,37.7,.336,26.8,49.8,.537,20.2,27.7,.729,10.0,41.4,51.5,24.8,6.6,6.3,12.3,21.6,111.8
7,Portland Trail Blazers,16,3965,39.9,91.5,.436,12.0,33.2,.360,28.0,58.3,.479,19.2,25.1,.766,11.6,34.2,45.7,20.0,7.0,5.2,12.7,23.0,111.0
8,Philadelphia 76ers,12,2880,40.1,87.4,.459,9.6,28.9,.331,30.5,58.5,.522,20.8,26.3,.790,11.6,37.8,49.4,24.9,6.4,5.5,16.0,22.8,110.7
9,Toronto Raptors,24,5810,39.1,88.1,.444,12.4,35.8,.346,26.8,52.3,.512,20.1,24.2,.830,8.6,35.4,44.0,23.4,8.4,4.8,11.9,23.5,110.7
10,Brooklyn Nets,5,1200,36.9,87.9,.420,10.6,32.7,.324,26.3,55.2,.477,22.7,28.1,.808,10.8,28.1,38.8,18.5,7.3,2.7,13.1,21.9,107.1
11,Oklahoma City Thunder,5,1200,38.0,86.4,.440,10.4,31.5,.331,27.5,54.8,.502,19.3,25.5,.756,10.2,33.1,43.4,22.7,6.6,5.4,15.3,24.3,105.7
12,Boston Celtics,9,2160,36.0,84.8,.424,11.4,33.3,.343,24.5,51.6,.476,19.6,24.4,.803,7.5,40.7,48.2,21.6,5.9,3.8,14.0,21.0,103.0
13,Utah Jazz,5,1200,35.3,88.1,.400,9.6,36.5,.263,25.7,51.6,.498,19.6,26.1,.750,12.0,36.1,48.2,23.5,9.4,5.5,14.9,22.2,99.8
14,Detroit Pistons,4,960,37.3,96.2,.388,10.9,33.1,.331,26.4,63.2,.417,11.9,16.4,.727,10.7,31.3,42.0,22.9,7.2,4.0,9.9,24.1,97.5
15,Indiana Pacers,4,960,35.5,88.5,.401,10.6,31.5,.336,24.9,56.9,.437,15.6,21.7,.720,8.5,34.2,42.6,22.0,8.7,3.7,11.9,21.2,97.2
16,Orlando Magic,5,1200,33.7,86.9,.388,10.9,36.4,.299,22.8,50.5,.452,18.0,23.3,.775,10.1,35.4,45.5,19.9,6.9,4.2,16.1,19.7,96.4
