Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder,20,4800,41.1,88.3,.465,7.5,21.1,.355,33.6,67.1,.500,22.1,27.0,.820,10.3,33.6,43.9,19.9,9.5,7.6,12.8,24.7,111.8
2,San Antonio Spurs,14,3360,41.0,85.3,.481,10.2,24.5,.416,30.8,60.8,.507,18.1,24.7,.731,9.3,34.6,44.0,24.7,7.0,5.0,15.5,22.0,110.3
3,Miami Heat,23,5570,39.3,85.6,.460,7.7,22.1,.347,31.7,63.5,.499,23.2,31.2,.744,11.5,34.1,45.5,19.7,8.2,5.6,14.6,23.1,109.6
4,Denver Nuggets,7,1680,42.5,98.8,.430,5.9,21.0,.278,36.7,77.8,.472,16.1,22.5,.718,17.1,35.7,52.8,23.1,7.7,7.6,12.3,23.2,107.1
5,Los Angeles Lakers,12,2880,39.4,93.2,.423,5.9,19.3,.304,33.5,73.9,.454,20.6,26.5,.778,15.9,34.4,50.3,21.1,6.4,8.7,14.0,22.0,105.4
6,Dallas Mavericks,4,960,34.8,86.1,.404,8.8,23.7,.372,25.9,62.3,.416,24.5,29.5,.832,11.6,33.1,44.7,17.1,8.8,3.9,16.0,22.9,102.9
7,Memphis Grizzlies,7,1705,36.6,85.8,.427,3.9,13.3,.289,32.8,72.4,.452,25.7,34.5,.744,15.1,32.9,48.0,18.3,8.0,5.5,17.3,26.2,102.8
8,Indiana Pacers,11,2665,38.0,89.5,.424,6.5,20.2,.320,31.5,69.3,.455,20.0,25.9,.771,13.9,35.6,49.6,18.3,7.8,6.1,17.0,24.8,102.4
9,Los Angeles Clippers,11,2665,38.4,83.9,.458,6.9,18.2,.378,31.5,65.6,.480,17.6,26.4,.667,9.7,31.3,41.0,19.2,10.5,7.3,16.4,26.8,101.3
10,Boston Celtics,20,4875,37.9,86.5,.438,5.2,18.3,.285,32.7,68.2,.479,19.3,24.2,.799,8.9,35.8,44.7,22.2,9.2,5.5,14.6,24.3,100.4
11,Philadelphia 76ers,13,3120,36.3,88.3,.411,4.5,14.9,.304,31.7,73.4,.432,19.8,27.6,.719,12.2,35.0,47.2,20.5,8.6,6.0,13.0,21.1,96.9
12,Chicago Bulls,6,1440,38.6,91.6,.421,4.9,14.4,.342,33.7,77.2,.436,13.6,21.0,.649,13.1,40.1,53.2,25.5,5.9,7.6,16.3,23.3,95.7
13,New York Knicks,5,1200,35.2,84.4,.417,5.8,20.9,.275,29.4,63.5,.464,19.1,25.1,.761,14.3,32.2,46.5,14.5,6.9,2.5,21.2,27.8,95.2
14,Orlando Magic,5,1225,35.1,88.0,.398,9.5,27.8,.341,25.6,60.2,.425,15.2,21.5,.705,11.1,32.3,43.4,19.4,6.8,5.0,15.8,21.5,94.8
15,Utah Jazz,4,960,35.6,93.3,.382,2.4,12.2,.200,33.2,81.1,.409,20.1,28.6,.705,17.4,35.4,52.8,18.2,7.1,7.3,14.7,22.0,93.9
16,Atlanta Hawks,6,1465,35.6,88.7,.401,6.5,21.0,.310,29.1,67.6,.430,14.2,18.1,.784,11.2,36.3,47.5,19.6,6.1,3.7,17.1,22.2,91.8
