Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers,17,242.9,44.8,88.4,.507,12.2,32.9,.372,32.5,55.5,.586,12.1,16.2,.746,10.3,31.1,41.4,29.9,5.5,4.8,12.0,20.5,113.9
2,Milwaukee Bucks,6,244.2,40.8,86.3,.473,11.2,31.5,.354,29.7,54.8,.541,17.3,21.2,.819,9.5,33.2,42.7,22.2,5.3,3.2,10.7,18.7,110.2
3,New York Knicks,13,241.9,39.8,87.8,.453,11.9,31.8,.375,27.8,56.1,.497,18.5,24.4,.757,13.5,29.4,42.8,22.5,5.7,5.4,11.2,17.8,109.9
4,Boston Celtics,19,241.3,39.3,83.8,.469,14.5,40.2,.360,24.8,43.6,.569,15.7,19.3,.812,9.7,33.4,43.1,23.8,6.3,5.4,11.5,15.7,108.8
5,Philadelphia 76ers,6,244.2,37.0,83.3,.444,13.5,35.7,.379,23.5,47.7,.493,20.7,24.7,.838,10.7,30.5,41.2,23.0,5.5,6.3,11.8,21.5,108.2
6,Minnesota Timberwolves,16,240.0,38.8,82.9,.468,11.7,32.6,.359,27.1,50.3,.538,18.3,23.6,.775,10.6,31.8,42.4,23.9,7.3,4.6,12.2,20.8,107.5
7,Los Angeles Lakers,5,240.0,41.6,84.6,.492,8.8,29.4,.299,32.8,55.2,.594,14.4,18.8,.766,7.4,33.2,40.6,24.4,6.0,4.0,11.0,16.6,106.4
8,Dallas Mavericks,22,240.0,38.9,83.0,.468,11.9,33.1,.360,27.0,50.0,.540,16.3,22.7,.719,10.9,32.2,43.1,21.1,6.3,5.3,12.5,19.0,106.0
9,Oklahoma City Thunder,10,240.0,39.4,85.8,.459,12.1,34.0,.356,27.3,51.8,.527,14.8,18.5,.800,8.7,32.8,41.5,23.1,7.8,6.2,11.2,17.7,105.7
10,Phoenix Suns,4,240.0,35.3,75.8,.465,9.5,26.0,.365,25.8,49.8,.518,23.3,28.0,.830,7.3,25.3,32.5,19.8,7.5,4.3,14.3,23.3,103.3
11,Denver Nuggets,12,240.0,38.9,85.2,.457,10.5,31.6,.332,28.4,53.6,.530,13.8,16.7,.830,9.9,32.6,42.5,24.9,6.4,4.3,12.0,18.0,102.2
12,Los Angeles Clippers,6,240.0,35.7,82.2,.434,11.8,31.7,.374,23.8,50.5,.472,17.2,21.7,.792,11.2,30.8,42.0,20.2,6.2,3.2,13.5,22.8,100.3
13,Orlando Magic,7,240.0,35.3,84.0,.420,10.3,33.3,.309,25.0,50.7,.493,19.4,25.1,.773,12.0,33.0,45.0,19.3,8.0,5.1,14.4,21.6,100.3
14,Cleveland Cavaliers,12,240.0,37.4,83.4,.449,10.3,32.8,.315,27.1,50.6,.535,12.9,17.0,.760,7.7,31.1,38.8,21.3,6.7,4.6,12.2,19.8,98.1
15,Miami Heat,5,240.0,35.6,81.2,.438,11.2,34.0,.329,24.4,47.2,.517,9.8,12.0,.817,5.6,30.6,36.2,21.2,4.6,1.4,11.6,16.8,92.2
16,New Orleans Pelicans,4,240.0,33.5,84.5,.396,8.8,32.8,.267,24.8,51.8,.478,13.8,16.0,.859,12.3,33.3,45.5,19.5,8.8,4.5,18.0,20.0,89.5
,League Average,10,240.9,39.0,84.4,.462,11.7,33.4,.351,27.3,51.0,.535,15.9,20.3,.779,10.1,31.7,41.8,23.2,6.4,4.8,12.2,19.1,105.6
