Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,21,5065,39.6,86.0,.461,10.1,25.6,.394,29.5,60.5,.489,23.6,29.2,.809,11.1,33.0,44.1,23.1,8.2,4.7,14.8,23.1,112.9
2,Oklahoma City Thunder,17,4205,37.7,85.2,.443,6.7,21.3,.316,31.0,63.8,.485,27.3,33.5,.816,14.0,35.1,49.1,18.9,7.3,8.1,16.5,26.7,109.5
3,Los Angeles Lakers,10,2400,40.1,90.0,.446,5.6,19.2,.289,34.6,70.8,.489,22.0,28.3,.776,14.6,32.7,47.3,21.9,8.0,5.9,14.5,23.8,107.8
4,Miami Heat,21,5090,37.4,84.1,.445,6.8,20.5,.331,30.7,63.6,.482,24.8,31.9,.777,11.6,35.5,47.1,18.9,8.4,6.9,15.9,22.1,106.4
5,Portland Trail Blazers,6,1440,40.0,88.2,.453,6.0,20.1,.300,34.0,68.1,.499,20.3,25.9,.783,11.1,34.4,45.4,20.5,6.8,6.2,13.9,25.1,106.3
6,Chicago Bulls,16,3865,38.9,92.1,.422,7.2,21.9,.329,31.7,70.2,.451,20.8,26.5,.784,15.3,34.5,49.8,23.0,8.4,7.6,15.6,24.3,105.8
7,Memphis Grizzlies,13,3245,39.2,89.8,.437,4.1,12.9,.318,35.1,76.9,.457,22.9,30.1,.760,13.3,32.7,46.0,20.1,8.5,6.4,14.0,25.2,105.4
8,Boston Celtics,9,2185,39.7,85.3,.465,8.3,17.8,.465,31.4,67.6,.465,17.4,22.3,.779,9.9,33.4,43.3,23.3,8.1,4.7,17.4,24.3,105.1
9,New Orleans Hornets,6,1440,38.5,84.2,.457,5.3,16.4,.321,33.2,67.8,.490,22.5,30.3,.742,9.0,30.3,39.3,23.6,8.4,3.5,15.0,27.7,104.7
10,Denver Nuggets,5,1200,34.6,81.8,.423,7.2,19.5,.370,27.4,62.2,.440,27.0,38.2,.706,7.9,32.5,40.4,18.7,7.0,3.8,13.0,25.3,103.4
11,Orlando Magic,6,1440,35.8,87.6,.409,7.1,27.1,.262,28.7,60.4,.475,23.7,32.1,.737,13.7,35.2,48.9,16.7,7.5,4.6,14.8,24.8,102.4
12,San Antonio Spurs,6,1465,36.5,83.6,.436,5.8,19.7,.294,30.7,63.9,.480,23.5,30.9,.760,11.0,34.1,45.1,19.3,7.9,6.3,15.5,23.3,102.2
13,Philadelphia 76ers,5,1200,39.3,94.9,.414,7.4,19.1,.390,31.9,75.8,.420,14.7,20.2,.724,12.3,34.9,47.2,23.7,7.4,4.2,12.3,23.7,100.7
14,Atlanta Hawks,12,2880,38.3,88.2,.434,5.2,16.2,.323,33.1,72.0,.459,18.5,25.5,.726,10.5,32.8,43.2,21.0,7.3,5.8,14.4,23.7,100.4
15,Indiana Pacers,5,1200,36.4,89.1,.409,6.4,17.1,.377,30.0,72.0,.417,20.9,27.1,.770,14.4,28.2,42.7,17.8,9.1,6.2,16.9,25.6,100.2
16,New York Knicks,4,960,34.9,90.5,.386,9.0,25.9,.347,25.9,64.6,.401,20.2,27.0,.747,15.8,28.4,44.2,18.3,7.1,7.4,16.6,20.4,99.0
