Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers,17,4130,47.2,93.2,.507,12.9,34.7,.372,34.3,58.5,.586,12.8,17.1,.746,10.9,32.7,43.6,31.5,5.8,5.1,12.7,21.6,120.1
2,New York Knicks,13,3145,42.9,94.9,.453,12.9,34.3,.375,30.1,60.5,.497,19.9,26.3,.757,14.5,31.7,46.3,24.3,6.1,5.8,12.1,19.3,118.7
3,Boston Celtics,19,4585,42.6,90.7,.469,15.7,43.5,.360,26.9,47.2,.569,17.0,20.9,.812,10.5,36.1,46.6,25.7,6.8,5.8,12.5,17.0,117.7
4,Minnesota Timberwolves,16,3840,42.2,90.2,.468,12.7,35.5,.359,29.5,54.8,.538,19.9,25.7,.775,11.6,34.6,46.2,26.1,7.9,5.0,13.3,22.7,117.0
5,Philadelphia 76ers,6,1465,40.0,90.1,.444,14.6,38.6,.379,25.4,51.5,.493,22.3,26.7,.838,11.5,33.0,44.5,24.9,5.9,6.8,12.8,23.2,116.9
6,Milwaukee Bucks,6,1465,43.0,90.9,.473,11.8,33.2,.354,31.2,57.8,.541,18.3,22.3,.819,10.0,34.9,44.9,23.3,5.6,3.3,11.2,19.7,116.0
7,Dallas Mavericks,22,5280,42.1,89.9,.468,12.9,35.8,.360,29.2,54.1,.540,17.7,24.6,.719,11.8,34.9,46.7,22.9,6.8,5.7,13.6,20.5,114.7
8,Oklahoma City Thunder,10,2400,41.8,90.9,.459,12.8,36.0,.356,28.9,54.9,.527,15.7,19.6,.800,9.2,34.8,44.0,24.5,8.3,6.6,11.9,18.8,112.0
9,Los Angeles Lakers,5,1200,43.7,88.8,.492,9.2,30.9,.299,34.4,57.9,.594,15.1,19.7,.766,7.8,34.8,42.6,25.6,6.3,4.2,11.5,17.4,111.7
10,Denver Nuggets,12,2880,42.1,92.2,.457,11.4,34.2,.332,30.8,58.0,.530,15.0,18.0,.830,10.7,35.3,46.0,27.0,6.9,4.6,13.0,19.5,110.6
11,Phoenix Suns,4,960,37.7,81.0,.465,10.2,27.8,.365,27.5,53.2,.518,24.9,29.9,.830,7.8,27.0,34.7,21.1,8.0,4.5,15.2,24.9,110.4
12,Los Angeles Clippers,6,1440,39.2,90.3,.434,13.0,34.8,.374,26.2,55.5,.472,18.9,23.8,.792,12.3,33.9,46.2,22.2,6.8,3.5,14.8,25.1,110.3
13,Orlando Magic,7,1680,37.3,88.8,.420,10.9,35.2,.309,26.4,53.6,.493,20.5,26.6,.773,12.7,34.9,47.6,20.4,8.5,5.4,15.3,22.8,106.0
14,Cleveland Cavaliers,12,2880,40.4,90.0,.449,11.1,35.4,.315,29.2,54.6,.535,13.9,18.3,.760,8.3,33.5,41.8,22.9,7.2,4.9,13.1,21.3,105.8
15,Miami Heat,5,1200,39.2,89.4,.438,12.3,37.5,.329,26.9,52.0,.517,10.8,13.2,.817,6.2,33.7,39.9,23.4,5.1,1.5,12.8,18.5,101.6
16,New Orleans Pelicans,4,960,35.5,89.6,.396,9.3,34.7,.267,26.3,54.9,.478,14.6,17.0,.859,13.0,35.3,48.3,20.7,9.3,4.8,19.1,21.2,94.9
