Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,9,2160,42.3,90.7,.466,15.4,42.4,.363,26.9,48.4,.556,23.5,28.8,.817,12.7,33.4,46.2,23.7,9.2,3.7,12.5,19.2,123.5
2,Los Angeles Clippers,7,1705,43.9,90.3,.486,12.8,35.2,.364,31.1,55.1,.565,15.0,20.9,.715,10.7,31.4,42.1,27.8,8.5,7.6,12.8,20.6,115.6
3,Oklahoma City Thunder,23,5545,41.3,90.4,.456,11.9,35.2,.338,29.4,55.2,.532,21.0,26.2,.801,11.5,32.3,43.8,23.1,10.8,5.7,12.4,21.6,115.4
4,Indiana Pacers,23,5570,41.2,85.3,.484,13.3,34.1,.390,27.9,51.2,.546,19.6,24.9,.785,8.2,32.9,41.1,26.7,8.1,5.7,14.5,23.5,115.3
5,Minnesota Timberwolves,15,3600,41.5,89.8,.462,13.9,39.0,.358,27.5,50.9,.541,17.7,23.0,.771,12.3,32.0,44.4,25.4,7.6,5.0,16.5,21.9,114.6
6,Boston Celtics,11,2665,39.8,89.8,.442,15.3,42.6,.360,24.4,47.2,.517,19.6,24.5,.799,11.7,34.9,46.6,21.6,7.3,5.8,14.3,21.2,114.4
7,New York Knicks,18,4370,40.7,89.5,.455,11.4,32.8,.349,29.3,56.7,.517,20.4,26.8,.760,12.2,31.9,44.1,20.5,8.2,4.8,14.3,21.7,113.3
8,Milwaukee Bucks,5,1225,40.5,89.4,.453,14.7,38.7,.379,25.9,50.7,.510,16.5,22.8,.723,10.6,33.8,44.4,24.2,6.1,3.7,13.2,20.0,112.2
9,Houston Rockets,7,1680,39.6,88.7,.446,11.4,30.5,.374,28.2,58.2,.484,21.6,30.8,.700,14.5,36.0,50.5,21.1,8.5,5.5,14.6,19.1,112.1
10,Denver Nuggets,14,3410,39.7,89.0,.446,12.2,35.3,.346,27.5,53.7,.512,18.5,24.3,.764,12.6,35.1,47.8,23.3,7.8,4.3,16.2,20.5,110.1
11,Los Angeles Lakers,5,1200,37.9,86.3,.439,14.9,42.5,.351,23.0,43.8,.525,19.3,23.2,.830,10.5,32.2,42.7,23.2,5.5,5.5,16.0,23.0,109.9
12,Detroit Pistons,6,1440,38.2,85.0,.450,10.5,32.2,.324,27.8,52.8,.526,22.8,28.6,.796,11.3,33.8,45.1,20.6,7.4,6.5,17.0,23.5,109.7
13,Golden State Warriors,12,2880,39.2,91.0,.431,14.5,41.2,.353,24.7,49.8,.496,16.8,21.8,.768,12.9,30.1,42.9,24.7,9.5,4.2,15.3,22.5,109.7
14,Miami Heat,4,960,39.5,88.9,.445,15.0,43.4,.346,24.5,45.5,.539,10.1,14.5,.698,10.9,29.7,40.6,23.2,4.9,3.3,17.5,18.8,104.2
15,Orlando Magic,5,1200,39.2,92.9,.422,9.0,34.3,.263,30.1,58.5,.515,15.6,22.7,.689,12.5,31.2,43.8,20.5,7.0,4.2,12.8,23.5,103.0
16,Memphis Grizzlies,4,960,35.6,85.8,.415,10.4,34.1,.304,25.2,51.7,.488,17.8,20.3,.878,10.1,33.6,43.8,20.3,5.7,6.4,19.0,20.5,99.4
