Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns,15,3625,44.1,89.5,.493,9.1,20.8,.436,35.0,68.7,.510,20.9,27.2,.767,12.7,32.8,45.5,21.6,6.4,6.6,13.6,21.2,118.2
2,Dallas Mavericks,13,3145,41.0,90.7,.452,7.1,18.8,.379,33.9,71.9,.472,24.1,30.7,.786,15.5,31.3,46.8,18.8,7.8,5.5,14.2,24.5,113.3
3,Sacramento Kings,5,1200,42.5,95.3,.445,6.4,23.0,.279,36.0,72.3,.498,21.7,27.2,.797,14.4,25.4,39.8,22.3,6.9,4.4,12.4,28.5,113.0
4,Memphis Grizzlies,4,960,45.2,95.7,.473,8.5,21.5,.392,36.8,74.1,.496,13.1,18.5,.706,12.8,30.3,43.1,22.9,6.3,4.9,11.7,26.7,112.0
5,Houston Rockets,7,1680,40.1,86.1,.466,8.2,20.3,.403,31.9,65.8,.485,23.4,29.6,.790,12.3,30.9,43.2,20.6,8.3,6.7,16.4,28.3,111.7
6,Seattle Supersonics,11,2640,40.0,87.3,.458,5.4,17.7,.306,34.5,69.6,.496,25.7,32.2,.799,14.2,31.2,45.4,18.2,7.4,5.1,15.6,29.4,111.1
7,San Antonio Spurs,23,5570,39.4,86.8,.454,8.1,20.8,.389,31.3,66.0,.474,23.1,31.8,.727,14.0,33.8,47.8,20.9,6.3,6.6,16.5,24.9,110.0
8,Miami Heat,15,3650,39.4,80.0,.492,6.6,16.9,.388,32.8,63.1,.520,21.9,32.7,.668,9.0,36.5,45.5,20.7,6.0,6.3,16.8,26.8,107.2
9,Chicago Bulls,6,1440,36.8,87.8,.419,9.3,24.0,.388,27.5,63.8,.431,23.3,32.3,.722,14.7,31.5,46.1,22.5,6.6,5.2,15.7,30.2,106.3
10,Washington Wizards,10,2400,36.9,86.8,.425,5.9,19.8,.298,31.0,67.1,.462,25.9,35.5,.728,13.6,31.4,45.0,18.1,8.6,6.1,14.4,26.7,105.6
11,Detroit Pistons,25,6050,40.1,91.8,.437,5.3,16.1,.326,34.9,75.6,.461,19.5,26.3,.742,14.4,34.8,49.1,23.8,8.5,7.1,14.2,24.5,105.0
12,Philadelphia 76ers,5,1225,38.8,88.7,.437,7.4,21.6,.340,31.4,67.1,.468,16.3,22.7,.716,10.7,28.1,38.8,22.1,9.6,4.5,14.3,24.3,101.2
13,Boston Celtics,7,1705,37.7,85.2,.442,5.6,17.0,.327,32.1,68.2,.471,19.7,26.1,.755,11.8,33.4,45.2,19.0,9.7,7.4,17.5,29.2,100.6
14,New Jersey Nets,4,1010,34.8,88.1,.395,6.5,22.4,.291,28.3,65.8,.431,24.4,32.5,.752,13.5,30.9,44.5,22.1,7.8,1.3,13.5,32.0,100.6
15,Indiana Pacers,13,3145,33.6,84.9,.395,6.5,20.7,.316,27.0,64.3,.421,24.1,30.7,.784,12.7,33.9,46.6,20.9,9.4,6.9,17.5,25.6,97.7
16,Denver Nuggets,5,1225,35.4,84.9,.417,2.4,9.1,.262,33.1,75.8,.436,24.2,32.8,.737,11.0,31.5,42.6,17.7,6.9,6.3,14.0,29.2,97.4
