Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,21,5040,42.3,90.2,.469,13.6,33.4,.406,28.7,56.8,.506,17.4,24.1,.725,11.8,35.9,47.7,23.4,8.6,4.7,13.8,21.6,115.5
2,Oklahoma City Thunder,18,4320,40.1,88.8,.452,8.7,26.1,.333,31.5,62.6,.502,22.8,28.9,.786,13.1,36.2,49.3,21.5,8.1,5.7,14.6,21.4,111.8
3,San Antonio Spurs,10,2400,42.1,89.8,.469,8.9,20.8,.429,33.2,69.0,.481,17.8,22.3,.800,8.6,34.4,43.0,23.2,9.9,7.6,12.6,19.8,111.0
4,Golden State Warriors,24,5785,39.9,87.9,.455,13.1,33.3,.393,26.9,54.6,.492,17.6,23.9,.735,10.8,33.6,44.3,24.9,8.2,5.6,14.4,22.5,110.5
5,Detroit Pistons,4,960,41.5,86.6,.478,10.1,26.8,.376,31.4,59.9,.524,16.4,25.3,.648,8.1,35.4,43.5,25.0,6.0,3.7,12.1,21.9,109.4
6,Portland Trail Blazers,11,2665,38.2,91.7,.416,12.3,32.2,.381,25.9,59.5,.436,19.5,26.3,.740,13.3,35.7,49.0,22.2,6.4,4.0,13.5,24.1,108.1
7,Indiana Pacers,7,1680,37.2,84.3,.441,9.2,24.0,.383,28.0,60.3,.464,22.0,26.9,.820,10.3,33.9,44.2,20.4,8.5,6.3,16.2,25.1,105.5
8,Miami Heat,14,3435,40.0,87.3,.458,7.4,20.8,.358,32.5,66.6,.489,17.7,23.1,.765,9.8,38.1,48.0,17.7,5.9,6.4,14.3,23.0,105.1
9,Los Angeles Clippers,6,1440,39.7,90.7,.437,6.0,20.8,.291,33.6,69.9,.481,19.6,31.3,.625,12.1,37.2,49.3,19.4,9.1,5.0,10.3,21.9,104.9
10,Atlanta Hawks,10,2425,37.8,87.7,.432,11.0,32.9,.333,26.9,54.8,.491,16.9,21.2,.795,9.2,36.6,45.8,23.4,7.8,7.9,14.9,20.9,103.5
11,Toronto Raptors,20,4875,37.7,89.6,.421,7.5,25.3,.298,30.2,64.3,.469,19.9,27.0,.737,11.9,32.5,44.4,17.3,8.3,4.0,14.3,24.1,102.8
12,Dallas Mavericks,5,1200,38.5,88.4,.436,6.8,23.3,.290,31.8,65.1,.488,18.3,26.4,.694,10.0,28.1,38.1,22.4,6.5,2.6,12.8,26.1,102.1
13,Charlotte Hornets,7,1680,35.0,88.4,.396,6.3,20.4,.308,28.7,68.0,.423,22.9,27.3,.839,7.8,32.7,40.5,14.9,6.3,3.6,10.4,19.2,99.2
14,Boston Celtics,6,1465,34.3,89.5,.384,8.7,31.5,.275,25.7,58.0,.443,16.5,21.0,.786,10.7,35.3,46.0,21.0,6.3,6.5,14.7,22.0,93.8
15,Houston Rockets,5,1200,33.5,87.0,.386,7.7,28.9,.268,25.8,58.1,.444,17.9,27.9,.642,14.6,33.5,48.2,18.3,8.5,4.3,19.3,26.0,92.7
16,Memphis Grizzlies,4,960,35.9,91.2,.394,5.3,18.0,.297,30.6,73.3,.418,13.8,19.6,.700,15.4,30.6,46.0,18.5,8.7,4.5,17.4,24.1,90.9
