Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,21,5115,40.2,88.6,.453,12.0,32.1,.374,28.2,56.5,.498,16.3,23.3,.699,12.2,35.8,48.0,25.8,8.4,6.1,15.4,23.6,108.7
2,Los Angeles Clippers,14,3385,39.7,85.3,.466,8.4,25.6,.329,31.3,59.7,.525,20.6,30.8,.667,9.7,35.2,44.9,22.6,8.6,5.9,13.2,24.9,108.4
3,Dallas Mavericks,5,1200,40.8,90.3,.452,7.5,23.9,.311,33.4,66.3,.503,18.8,24.7,.762,13.3,33.2,46.5,20.8,6.9,4.5,13.9,26.7,107.9
4,San Antonio Spurs,7,1705,39.9,88.9,.449,10.0,27.2,.366,29.9,61.6,.486,18.0,26.5,.680,12.2,36.2,48.4,25.2,6.4,4.9,12.7,25.9,107.8
5,Cleveland Cavaliers,20,4875,37.7,89.8,.420,10.6,31.1,.340,27.1,58.6,.462,21.5,29.2,.738,13.3,37.8,51.1,19.5,6.8,6.9,14.1,22.7,107.4
6,New Orleans Pelicans,4,985,40.3,89.3,.451,7.2,22.5,.318,33.1,66.8,.496,19.1,23.6,.809,11.4,33.1,44.5,24.6,7.9,6.1,14.3,25.2,106.8
7,Houston Rockets,17,4080,36.8,82.1,.448,9.3,27.1,.344,27.5,55.0,.499,23.6,36.2,.654,10.7,34.3,45.0,21.6,8.2,5.4,15.2,23.1,106.6
8,Washington Wizards,10,2425,39.0,88.4,.441,9.8,24.4,.403,29.2,64.0,.456,17.9,24.8,.722,12.1,37.2,49.4,24.2,7.4,5.5,15.2,20.9,105.8
9,Chicago Bulls,12,2930,38.2,91.1,.419,10.0,26.7,.373,28.2,64.3,.438,18.1,23.4,.775,12.7,36.7,49.4,24.1,7.8,7.2,15.2,20.5,104.4
10,Atlanta Hawks,16,3890,38.9,90.3,.431,9.6,30.2,.317,29.4,60.1,.488,16.0,20.5,.781,10.4,35.8,46.1,25.1,9.0,5.2,13.4,20.8,103.4
11,Memphis Grizzlies,11,2640,38.9,91.5,.425,4.7,15.2,.312,34.1,76.2,.447,20.6,24.7,.832,11.5,35.8,47.3,22.1,9.4,4.4,12.0,21.1,103.0
12,Portland Trail Blazers,5,1200,36.3,90.8,.400,10.0,28.5,.351,26.3,62.4,.422,19.3,23.5,.824,10.9,37.2,48.0,18.0,3.7,5.7,12.6,22.4,101.9
13,Boston Celtics,4,960,37.2,88.7,.420,5.9,23.0,.256,31.3,65.6,.478,21.2,27.3,.775,10.7,33.0,43.7,21.4,5.6,4.0,14.5,28.7,101.5
14,Brooklyn Nets,6,1465,37.8,87.0,.435,8.9,25.1,.354,28.9,61.9,.468,16.2,21.8,.744,9.9,36.6,46.5,22.7,7.8,3.5,15.0,19.9,100.8
15,Toronto Raptors,4,985,37.9,91.0,.416,7.7,25.8,.300,30.2,65.2,.462,15.7,21.9,.718,9.0,30.7,39.7,20.1,7.7,2.3,12.4,25.8,99.3
16,Milwaukee Bucks,6,1490,35.5,91.5,.388,5.7,18.9,.303,29.7,72.6,.410,15.2,21.6,.704,12.6,32.7,45.3,21.1,11.2,6.9,13.7,22.0,91.8
