Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Portland Trail Blazers,6,1490,42.7,89.9,.475,16.4,39.8,.413,26.3,50.0,.525,19.7,23.1,.853,9.5,32.9,42.4,23.2,5.3,5.6,12.0,23.6,121.6
2,Utah Jazz,11,2640,41.3,87.4,.472,18.7,45.3,.413,22.6,42.1,.536,20.2,25.2,.801,9.7,34.3,44.0,20.4,5.4,4.2,14.0,22.4,121.4
3,Los Angeles Clippers,19,4560,42.1,88.3,.477,14.9,39.2,.381,27.2,49.1,.554,21.0,25.6,.823,9.5,34.9,44.3,22.4,7.3,4.6,11.5,21.0,120.2
4,Boston Celtics,5,1200,40.1,92.0,.435,13.4,38.2,.350,26.7,53.8,.496,23.6,28.6,.825,13.1,30.0,43.2,21.9,6.7,7.3,13.6,21.9,117.1
5,Denver Nuggets,10,2450,42.8,93.8,.457,15.0,39.2,.382,27.9,54.6,.510,16.2,21.3,.761,11.9,32.5,44.4,25.3,6.2,4.4,11.4,20.8,116.8
6,Brooklyn Nets,12,2905,42.0,88.9,.472,14.0,36.7,.382,28.0,52.2,.535,18.1,20.9,.868,8.5,35.4,44.0,23.3,7.3,5.0,12.0,21.8,116.1
7,Philadelphia 76ers,12,2880,42.4,85.6,.496,11.1,28.4,.393,31.3,57.2,.547,20.0,29.3,.685,9.0,35.6,44.6,24.9,8.0,6.2,12.8,22.9,116.0
8,Memphis Grizzlies,5,1200,44.4,94.9,.468,10.5,31.8,.329,34.0,63.1,.538,16.3,20.5,.794,11.3,30.2,41.4,22.1,8.0,4.0,10.5,20.7,115.6
9,Dallas Mavericks,7,1680,42.6,93.7,.455,14.8,38.1,.388,27.9,55.6,.501,15.4,21.8,.707,11.2,33.0,44.2,22.6,6.1,2.3,12.0,22.1,115.5
10,Phoenix Suns,22,5280,43.0,89.5,.481,11.8,31.3,.376,31.3,58.2,.537,16.8,19.6,.861,8.4,36.5,44.9,24.4,6.8,4.4,12.5,20.8,114.7
11,Milwaukee Bucks,23,5570,43.1,93.2,.462,11.5,35.8,.321,31.6,57.4,.550,15.3,21.3,.718,13.1,37.0,50.1,23.4,8.0,4.3,13.0,18.4,112.9
12,Atlanta Hawks,18,4320,40.2,89.6,.449,12.1,35.3,.343,28.1,54.3,.517,17.2,21.6,.798,9.4,34.4,43.8,20.9,6.9,4.5,12.9,21.9,109.8
13,Washington Wizards,5,1200,39.7,86.7,.458,6.8,23.7,.289,32.9,63.0,.522,21.3,28.4,.752,10.4,32.1,42.5,21.9,4.7,4.7,13.1,23.5,107.6
14,Los Angeles Lakers,6,1440,36.6,88.5,.414,10.5,35.0,.299,26.1,53.5,.488,20.3,26.1,.776,11.2,34.8,46.0,20.6,7.1,4.3,14.8,21.9,104.0
15,New York Knicks,5,1200,36.7,92.2,.398,11.1,32.4,.342,25.6,59.8,.429,19.0,23.3,.817,12.6,36.9,49.5,19.8,6.2,3.0,13.0,21.1,103.5
16,Miami Heat,4,985,34.7,87.9,.395,11.8,35.2,.336,22.9,52.7,.435,15.3,20.0,.765,8.9,32.8,41.6,21.2,7.1,3.4,13.8,20.2,96.6
