Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New Orleans Hornets,12,2880,43.4,93.5,.464,6.6,16.2,.411,36.7,77.3,.475,18.1,23.4,.774,11.8,36.7,48.6,22.2,8.4,5.9,10.2,23.9,111.5
2,Orlando Magic,10,2400,40.5,86.2,.469,10.3,28.9,.356,30.2,57.3,.527,19.8,27.8,.712,13.4,35.7,49.0,19.9,5.5,5.6,16.6,23.4,111.0
3,Toronto Raptors,5,1200,41.2,94.8,.435,9.3,26.6,.350,31.9,68.2,.468,18.4,21.3,.865,10.9,32.6,43.4,26.6,8.0,2.7,11.1,25.2,110.1
4,Utah Jazz,12,2905,40.5,91.1,.445,6.5,18.6,.350,34.0,72.5,.469,22.5,30.1,.750,16.1,33.2,49.3,23.8,7.2,6.4,14.4,28.4,110.1
5,Los Angeles Lakers,21,5065,39.5,84.4,.468,7.5,20.3,.367,32.0,64.1,.500,23.6,31.3,.753,9.5,33.0,42.5,22.3,7.7,5.7,14.3,25.0,110.0
6,Boston Celtics,26,6240,39.1,87.4,.447,7.0,19.6,.359,32.0,67.8,.472,24.2,30.9,.783,12.9,33.7,46.5,25.0,8.9,5.0,14.9,28.2,109.4
7,Dallas Mavericks,5,1200,36.3,90.6,.401,8.3,23.9,.346,28.0,66.7,.421,27.1,34.5,.787,16.6,35.4,52.0,22.3,4.6,4.6,13.3,23.7,108.0
8,Detroit Pistons,17,4080,40.0,87.9,.455,5.3,15.7,.341,34.7,72.2,.480,22.6,28.1,.802,12.5,30.3,42.8,24.2,8.7,6.9,15.3,27.5,108.0
9,Washington Wizards,6,1440,36.4,85.5,.426,6.8,22.4,.305,29.6,63.1,.468,25.2,33.0,.764,11.0,31.5,42.5,17.8,8.2,5.5,14.0,26.0,104.9
10,Cleveland Cavaliers,13,3120,36.2,86.2,.420,7.8,22.6,.345,28.4,63.6,.446,24.5,34.0,.721,13.7,33.9,47.6,23.5,7.0,5.6,16.1,25.7,104.6
11,Denver Nuggets,4,960,38.8,90.9,.427,4.6,18.5,.250,34.2,72.4,.472,22.1,29.8,.741,16.9,33.1,50.1,19.0,6.4,4.9,14.9,26.2,104.3
12,Phoenix Suns,5,1250,39.4,85.4,.461,5.2,15.3,.338,34.2,70.1,.488,20.1,31.5,.638,9.7,33.4,43.1,19.5,5.4,7.3,12.9,23.4,104.1
13,San Antonio Spurs,17,4130,39.2,88.0,.446,8.3,22.1,.375,30.9,65.9,.469,17.1,22.9,.745,9.9,36.2,46.1,22.5,5.8,4.5,14.1,24.9,103.9
14,Houston Rockets,6,1440,37.9,92.8,.409,6.9,23.6,.292,31.1,69.2,.449,21.0,30.9,.682,15.3,34.2,49.5,18.3,8.1,6.5,12.8,25.0,103.8
15,Atlanta Hawks,7,1680,34.1,83.1,.411,4.7,14.5,.322,29.5,68.6,.430,28.6,36.6,.782,13.5,31.1,44.6,20.3,5.0,6.7,18.5,23.5,101.6
16,Philadelphia 76ers,6,1440,36.2,86.8,.417,2.1,9.1,.234,34.1,77.7,.439,25.2,34.9,.722,15.7,28.7,44.4,18.4,10.3,4.3,17.2,22.3,99.8
