Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,5,1200,39.7,100.1,.396,5.2,18.1,.287,34.5,82.0,.420,18.9,24.5,.771,21.2,33.0,54.2,21.4,9.6,6.9,14.1,22.4,103.4
2,San Antonio Spurs,10,2400,38.4,87.3,.440,7.9,21.7,.365,30.5,65.7,.464,17.7,27.4,.644,14.4,34.0,48.5,22.2,8.8,4.8,17.8,26.1,102.4
3,Minnesota Timberwolves,18,4345,37.6,85.4,.441,6.5,16.9,.387,31.1,68.5,.454,20.1,25.8,.780,10.7,35.8,46.5,21.4,7.3,5.7,16.6,26.9,101.9
4,Sacramento Kings,12,2905,37.4,88.0,.425,6.2,17.8,.348,31.2,70.2,.445,20.0,26.4,.758,11.6,35.1,46.7,24.2,10.0,3.9,15.2,22.4,101.0
5,Los Angeles Lakers,22,5330,37.8,85.2,.444,5.7,17.7,.321,32.1,67.5,.476,19.5,31.9,.612,11.6,34.4,46.0,25.9,8.4,4.8,14.5,26.2,100.8
6,Detroit Pistons,23,5620,35.8,87.0,.412,4.8,15.8,.304,31.0,71.2,.436,22.9,31.2,.734,14.7,36.5,51.1,22.2,9.1,8.1,17.0,25.7,99.3
7,Denver Nuggets,5,1200,40.7,95.5,.427,4.8,14.2,.338,35.9,81.2,.442,12.9,18.4,.702,15.8,31.5,47.3,22.3,8.5,3.1,15.5,26.5,99.2
8,Indiana Pacers,16,3840,35.5,86.9,.408,6.9,20.6,.333,28.6,66.3,.432,21.0,28.7,.733,12.5,36.2,48.7,20.7,10.0,7.2,15.7,27.2,98.9
9,Miami Heat,13,3120,35.3,86.5,.408,4.3,15.5,.276,31.1,71.0,.437,22.3,29.6,.754,13.2,35.3,48.4,18.9,8.7,4.7,16.4,28.2,97.3
10,Memphis Grizzlies,4,960,35.8,84.3,.424,4.4,14.8,.294,31.4,69.5,.452,21.2,27.3,.777,11.1,29.1,40.1,16.9,11.1,5.8,16.6,29.1,97.1
11,New Jersey Nets,11,2715,33.7,79.6,.423,4.9,17.9,.272,28.8,61.7,.467,24.2,33.1,.730,11.6,35.1,46.7,22.4,9.4,5.9,20.3,28.4,96.4
12,Milwaukee Bucks,5,1200,36.1,86.6,.416,5.3,16.0,.333,30.7,70.6,.435,17.8,24.0,.741,12.5,31.2,43.6,22.9,9.1,4.7,18.2,24.9,95.3
13,Houston Rockets,5,1225,35.5,83.1,.427,5.1,17.0,.303,30.4,66.1,.459,18.3,25.5,.719,10.7,38.9,49.6,19.2,5.8,4.0,18.8,25.5,94.5
14,New Orleans Hornets,7,1680,33.6,87.5,.384,6.7,21.3,.315,26.9,66.2,.406,18.5,23.8,.779,14.1,34.4,48.5,22.1,7.0,5.2,19.7,23.9,92.5
15,Boston Celtics,4,960,31.3,76.9,.408,5.7,17.2,.333,25.6,59.7,.429,23.7,29.4,.806,10.1,34.6,44.7,19.1,7.1,5.5,21.5,22.1,92.1
16,New York Knicks,4,960,33.1,86.1,.384,4.6,15.6,.293,28.5,70.5,.405,19.6,27.2,.723,13.2,28.2,41.4,21.0,10.0,4.3,17.5,30.1,90.4
