Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,8,1945,40.7,90.1,.452,8.6,22.7,.379,32.1,67.5,.476,21.6,25.9,.837,11.1,31.8,42.9,20.1,6.4,4.7,12.8,26.4,111.7
2,Los Angeles Lakers,19,4585,38.9,87.5,.444,6.6,19.6,.339,32.2,67.9,.474,22.0,30.6,.721,13.3,36.0,49.4,21.3,7.4,6.3,14.9,25.7,106.4
3,Sacramento Kings,16,3890,38.8,86.7,.448,5.3,17.0,.309,33.6,69.7,.482,23.3,31.5,.741,13.6,34.3,47.9,21.7,7.9,4.9,15.5,25.0,106.3
4,San Antonio Spurs,10,2400,38.4,88.9,.432,5.8,17.1,.340,32.5,71.7,.454,23.7,31.0,.763,12.9,34.9,47.8,19.7,7.1,7.6,12.9,23.8,106.2
5,Minnesota Timberwolves,3,720,37.3,83.8,.444,5.2,13.1,.395,32.1,70.7,.454,25.9,35.9,.721,14.8,36.2,51.0,16.6,5.9,2.8,16.2,27.9,105.5
6,Charlotte Hornets,9,2210,36.9,87.6,.421,4.8,13.2,.364,32.1,74.4,.431,25.4,35.0,.725,15.9,34.1,50.0,21.1,9.6,7.9,16.0,29.7,103.9
7,New Jersey Nets,20,4850,38.5,88.9,.432,4.5,15.6,.285,34.0,73.3,.464,20.9,28.8,.726,13.2,32.6,45.8,22.8,8.4,5.9,15.2,26.3,102.3
8,Philadelphia 76ers,5,1200,34.9,84.4,.413,4.6,14.9,.308,30.3,69.5,.436,27.8,36.7,.756,14.5,32.8,47.3,22.3,10.3,4.6,16.5,21.3,102.1
9,Seattle Supersonics,5,1200,40.4,93.9,.430,5.7,14.4,.393,34.7,79.5,.436,15.3,22.4,.684,13.5,34.0,47.4,20.5,4.7,5.7,12.5,27.6,101.7
10,Boston Celtics,16,3840,36.5,87.3,.418,8.8,25.5,.343,27.7,61.7,.449,19.7,25.5,.774,11.8,36.4,48.1,20.9,9.9,5.3,15.7,25.4,101.5
11,Orlando Magic,4,1010,35.9,84.7,.424,4.6,17.8,.258,31.3,66.9,.468,24.8,33.5,.742,9.7,32.9,42.6,21.0,5.9,4.0,13.0,27.8,101.2
12,Portland Trail Blazers,3,720,34.1,89.1,.382,7.2,19.6,.370,26.8,69.6,.385,23.9,30.1,.795,13.0,34.8,47.8,22.5,9.1,3.3,15.9,29.4,99.3
13,Utah Jazz,4,960,37.0,89.1,.415,3.9,12.9,.304,33.1,76.2,.434,20.7,30.3,.685,17.1,31.4,48.5,25.8,10.1,7.8,18.5,29.1,98.6
14,Toronto Raptors,5,1200,38.1,90.1,.422,4.0,12.4,.321,34.1,77.8,.438,17.7,24.1,.738,14.5,35.0,49.5,24.5,9.3,6.1,18.7,27.3,97.8
15,Indiana Pacers,5,1250,36.9,80.5,.458,5.1,12.5,.407,31.8,68.0,.467,18.2,24.0,.761,8.9,35.8,44.7,22.5,8.7,4.2,19.3,26.5,97.1
16,Detroit Pistons,10,2400,34.0,85.2,.399,9.3,26.2,.354,24.8,59.0,.420,18.7,25.9,.723,11.1,32.5,43.6,21.6,8.4,6.5,16.9,24.3,96.1
