Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,11,2665,38.0,84.4,.450,11.5,32.2,.358,26.5,52.2,.507,23.3,31.8,.735,11.9,27.9,39.8,17.9,10.7,5.7,15.5,27.7,110.9
2,Phoenix Suns,11,2640,41.4,86.9,.477,7.5,19.9,.379,33.9,67.0,.506,20.2,25.9,.780,9.8,33.1,42.9,24.8,6.8,5.5,14.7,20.9,110.6
3,San Antonio Spurs,20,4800,39.6,86.3,.459,8.5,22.1,.384,31.2,64.2,.485,19.8,27.3,.724,11.8,33.9,45.7,22.3,8.0,6.2,15.6,23.1,107.6
4,Utah Jazz,17,4105,39.8,86.7,.459,4.7,13.7,.341,35.1,73.0,.481,22.7,30.3,.749,14.2,34.0,48.2,24.2,8.0,5.2,17.5,26.9,106.9
5,Dallas Mavericks,6,1440,36.7,86.7,.423,7.5,23.8,.316,29.1,62.9,.463,24.9,32.2,.772,15.0,32.5,47.6,19.1,8.9,5.4,17.5,25.6,105.7
6,Detroit Pistons,16,3890,37.6,87.5,.430,6.7,19.1,.350,30.9,68.3,.453,23.2,30.3,.767,13.6,33.1,46.7,23.2,8.1,5.4,15.3,27.5,105.2
7,Los Angeles Lakers,5,1200,40.2,91.1,.442,6.8,21.0,.323,33.5,70.1,.477,16.5,22.9,.722,15.0,30.9,46.0,15.2,6.1,4.2,16.1,24.4,103.8
8,Washington Wizards,4,960,38.7,93.9,.413,7.1,23.2,.305,31.7,70.7,.448,18.9,24.6,.770,11.6,29.7,41.3,21.2,6.2,3.4,9.9,24.0,103.5
9,Chicago Bulls,10,2400,36.4,84.6,.430,6.6,18.6,.355,29.8,66.0,.451,24.1,33.0,.729,13.0,33.9,46.9,23.0,7.8,4.7,17.1,24.7,103.4
10,Orlando Magic,4,960,40.4,84.5,.478,2.9,8.5,.345,37.4,76.0,.492,19.3,33.3,.579,13.2,33.9,47.1,21.1,5.0,4.1,17.3,28.4,102.9
11,Cleveland Cavaliers,20,4850,37.1,88.1,.421,6.2,19.1,.326,30.8,69.0,.447,22.2,30.1,.737,13.7,36.2,50.0,20.2,8.3,4.0,15.0,23.9,102.5
12,New Jersey Nets,12,2880,36.7,82.7,.444,8.6,23.5,.368,28.1,59.2,.475,19.5,26.3,.743,9.7,35.2,44.9,25.9,7.1,3.3,18.1,23.9,101.7
13,Toronto Raptors,6,1440,36.1,81.7,.442,5.9,16.1,.368,30.2,65.6,.460,22.8,28.4,.804,8.2,33.9,42.1,18.0,8.5,4.4,16.3,23.7,101.0
14,Denver Nuggets,5,1200,38.4,90.6,.423,5.3,16.4,.319,33.1,74.2,.446,18.7,24.0,.781,14.8,34.7,49.5,20.1,6.4,4.8,17.3,20.5,100.7
15,Houston Rockets,7,1680,33.9,82.7,.410,8.2,25.4,.321,25.8,57.2,.450,23.6,30.0,.788,11.2,36.2,47.4,20.7,8.0,4.7,17.0,22.0,99.6
16,Miami Heat,4,960,36.3,81.6,.445,6.0,18.6,.324,30.3,63.0,.481,18.3,29.7,.615,8.7,30.8,39.6,19.4,6.8,5.7,16.1,27.6,96.9
