Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,21,5065,42.5,88.7,.480,11.5,32.4,.357,31.0,56.3,.550,17.3,21.0,.822,9.4,37.0,46.4,26.9,8.1,6.0,13.3,20.3,113.9
2,Toronto Raptors,10,2425,40.6,85.9,.473,10.9,27.9,.390,29.7,58.0,.513,19.9,24.9,.799,9.8,32.0,41.8,22.7,5.9,6.4,14.6,23.6,112.0
3,Indiana Pacers,7,1680,42.5,88.4,.481,10.7,29.9,.358,31.8,58.4,.544,15.1,21.3,.711,9.0,35.1,44.1,23.3,9.0,3.0,14.5,24.1,110.9
4,Philadelphia 76ers,10,2425,39.3,89.8,.437,10.0,29.7,.338,29.2,60.1,.486,21.8,28.7,.760,13.6,36.6,50.2,26.2,7.9,4.2,14.8,23.1,110.4
5,Washington Wizards,6,1440,40.8,87.6,.466,8.2,22.5,.366,32.6,65.2,.500,20.4,24.0,.850,8.7,32.4,41.2,24.0,8.1,5.3,13.9,21.6,110.3
6,Houston Rockets,17,4080,38.8,89.1,.436,14.0,41.5,.337,24.8,47.6,.522,17.9,23.2,.772,9.2,35.8,44.9,19.7,8.5,5.7,12.6,20.0,109.6
7,Cleveland Cavaliers,22,5330,39.9,88.5,.450,10.9,32.8,.331,29.0,55.7,.520,18.8,25.0,.752,10.6,34.2,44.7,20.8,6.4,4.8,13.7,21.1,109.4
8,Milwaukee Bucks,7,1705,41.8,83.6,.500,10.2,27.5,.372,31.6,56.1,.563,14.9,21.2,.705,5.9,35.2,41.2,23.5,7.0,7.2,14.0,24.4,108.8
9,Boston Celtics,19,4610,38.7,88.5,.437,11.1,32.5,.343,27.6,56.0,.493,19.2,25.0,.767,9.4,34.9,44.3,22.5,7.3,4.3,12.4,21.7,107.7
10,New Orleans Pelicans,9,2160,41.7,87.4,.478,9.6,26.3,.366,32.1,61.1,.526,14.0,17.8,.782,7.7,36.7,44.3,26.2,7.9,4.9,14.1,18.8,107.1
11,Minnesota Timberwolves,5,1200,40.0,87.0,.460,9.5,23.0,.413,30.5,64.0,.477,17.5,24.0,.728,9.1,38.5,47.6,23.6,5.3,3.4,13.3,19.2,107.0
12,Portland Trail Blazers,4,960,41.8,92.2,.453,10.9,32.7,.333,30.9,59.5,.519,12.4,16.0,.778,11.4,32.7,44.1,19.2,8.4,3.8,14.7,20.8,106.9
13,Utah Jazz,11,2640,38.6,84.8,.455,11.0,30.6,.359,27.6,54.2,.509,16.6,24.1,.687,9.6,36.4,46.0,20.7,7.7,5.1,15.9,21.0,104.7
14,San Antonio Spurs,5,1200,37.1,89.8,.413,9.0,30.2,.298,28.1,59.6,.471,20.6,24.6,.835,9.0,31.3,40.3,20.4,8.1,3.2,11.8,21.9,103.7
15,Oklahoma City Thunder,6,1440,38.0,88.5,.430,10.7,29.5,.364,27.3,59.0,.462,16.7,21.6,.772,9.5,35.4,45.0,16.7,9.0,4.3,14.3,22.2,103.5
16,Miami Heat,5,1200,36.4,82.4,.442,10.8,27.5,.391,25.7,55.0,.467,19.3,28.5,.678,9.6,31.3,40.8,23.7,8.8,6.4,15.9,29.1,103.0
