Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers,23,5545,41.2,88.7,.465,5.9,17.0,.349,35.2,71.6,.492,21.7,34.9,.623,14.6,33.2,47.8,24.1,7.2,6.7,13.4,27.9,110.1
2,Indiana Pacers,23,5545,39.1,88.2,.443,8.0,21.1,.379,31.1,67.2,.463,23.5,28.5,.827,11.3,34.1,45.3,22.8,6.1,5.2,13.0,26.2,109.7
3,Portland Trail Blazers,16,3840,37.8,85.2,.444,6.3,17.0,.372,31.4,68.1,.462,25.8,32.9,.785,11.4,33.1,44.5,22.4,8.6,4.4,14.8,29.4,107.7
4,Milwaukee Bucks,5,1200,42.3,92.5,.458,4.0,13.0,.310,38.3,79.5,.482,18.8,24.6,.764,12.8,35.2,47.9,23.1,7.4,6.3,13.2,28.0,107.5
5,Philadelphia 76ers,10,2425,38.7,90.5,.428,4.4,13.9,.317,34.3,76.6,.448,24.8,33.4,.742,15.3,32.7,47.9,21.6,7.4,5.1,14.4,25.6,106.5
6,Sacramento Kings,5,1200,36.6,88.2,.415,7.2,19.0,.379,29.4,69.3,.425,24.6,32.7,.753,12.9,32.0,44.9,18.3,7.4,3.9,13.1,24.0,105.0
7,Charlotte Hornets,4,985,37.0,86.0,.430,5.2,17.2,.300,31.8,68.8,.463,25.5,31.0,.824,15.5,35.0,50.4,26.1,9.5,6.6,17.8,25.2,104.6
8,Seattle Supersonics,5,1200,39.0,89.2,.437,7.8,18.4,.427,31.2,70.8,.440,18.6,26.0,.716,13.9,32.1,46.0,22.2,9.2,3.8,16.4,24.4,104.5
9,Minnesota Timberwolves,4,960,41.5,92.8,.448,3.6,11.8,.308,37.9,80.9,.468,16.7,21.2,.786,12.4,30.0,42.4,28.5,7.3,4.9,14.2,28.8,103.4
10,Utah Jazz,10,2400,37.7,85.0,.444,5.2,14.0,.374,32.5,71.0,.457,19.9,27.0,.738,11.7,34.2,45.9,26.9,7.9,6.2,17.0,28.5,100.6
11,New York Knicks,16,3865,36.9,85.6,.431,5.3,13.5,.393,31.6,72.0,.438,20.8,27.2,.764,9.5,35.9,45.4,17.3,7.7,4.8,13.9,27.1,99.8
12,Miami Heat,10,2425,36.2,86.2,.419,5.5,17.4,.315,30.7,68.8,.446,19.5,28.3,.690,12.3,38.5,50.8,22.3,8.4,6.0,16.3,30.4,97.4
13,Toronto Raptors,3,720,32.2,86.0,.374,5.0,18.2,.277,27.1,67.8,.400,27.9,36.0,.774,15.1,34.5,49.6,22.1,10.5,5.0,16.7,30.2,97.3
14,Phoenix Suns,9,2160,37.0,90.9,.407,5.2,18.5,.278,31.8,72.4,.440,17.4,24.9,.700,15.4,34.3,49.6,23.2,9.0,6.9,17.0,30.3,96.6
15,San Antonio Spurs,4,960,31.1,83.7,.372,3.3,12.1,.273,27.8,71.6,.388,24.5,33.6,.730,13.5,37.4,50.9,16.5,9.6,8.3,17.9,22.9,90.0
16,Detroit Pistons,3,720,31.2,77.2,.404,4.8,13.0,.371,26.3,64.2,.410,21.5,30.1,.716,6.7,31.5,38.2,16.3,6.7,1.9,18.9,27.5,88.7
