Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Miami Heat,23,5570,40.6,86.9,.468,8.7,22.9,.381,31.9,64.0,.499,20.2,26.3,.766,11.0,32.2,43.2,23.3,9.4,6.2,14.8,25.2,110.2
2,San Antonio Spurs,21,5190,41.2,89.1,.463,8.5,22.5,.378,32.7,66.5,.492,17.7,23.3,.763,10.5,35.6,46.1,23.7,8.5,5.5,13.9,20.7,108.7
3,Brooklyn Nets,7,1755,40.1,90.8,.442,6.7,21.1,.316,33.5,69.7,.480,20.9,27.6,.758,12.7,33.0,45.7,21.5,6.8,6.0,12.5,21.5,107.8
4,Los Angeles Clippers,6,1440,39.9,85.6,.467,6.6,21.8,.304,33.3,63.8,.522,21.0,26.9,.782,10.0,32.2,42.2,20.4,5.9,6.4,15.1,31.6,107.5
5,Golden State Warriors,12,2955,40.4,87.5,.462,9.0,23.1,.388,31.4,64.4,.489,16.6,22.5,.736,11.9,35.8,47.8,22.5,6.7,5.1,17.1,24.6,106.4
6,Denver Nuggets,6,1440,38.2,87.2,.438,7.2,23.1,.311,31.0,64.1,.484,22.3,30.5,.730,12.2,27.6,39.8,21.8,9.3,2.9,14.9,23.8,105.9
7,Houston Rockets,6,1440,36.1,85.3,.424,12.3,35.4,.347,23.9,49.8,.479,20.7,29.1,.711,11.4,34.4,45.8,19.0,6.1,5.8,16.7,24.4,105.3
8,Oklahoma City Thunder,11,2665,37.2,87.2,.427,9.2,26.4,.349,28.0,60.8,.460,21.5,25.7,.838,10.5,35.3,45.8,19.3,6.4,7.5,14.6,26.6,105.1
9,Memphis Grizzlies,15,3675,37.8,90.4,.418,5.3,16.4,.324,32.4,74.0,.439,24.1,32.2,.748,13.0,33.3,46.3,21.4,8.1,5.1,11.9,24.5,105.0
10,Indiana Pacers,19,4585,36.7,84.7,.433,7.1,21.8,.327,29.6,62.9,.470,24.0,32.5,.740,14.5,37.5,52.0,19.9,6.2,5.1,18.7,25.5,104.5
11,Chicago Bulls,12,2955,39.0,89.1,.438,6.0,19.0,.319,33.0,70.2,.470,18.4,25.6,.720,13.1,32.3,45.5,21.7,7.2,5.1,15.9,25.0,102.5
12,New York Knicks,12,2905,38.0,92.7,.410,9.2,26.7,.343,28.9,66.0,.438,16.1,20.6,.782,12.2,33.0,45.2,17.3,10.1,4.9,13.3,27.2,101.4
13,Atlanta Hawks,6,1440,35.8,84.8,.422,6.8,20.5,.330,29.1,64.3,.452,19.6,28.7,.682,9.1,32.9,42.0,21.0,8.0,4.2,13.3,26.5,98.0
14,Milwaukee Bucks,4,960,36.7,84.6,.433,6.6,25.4,.261,30.1,59.3,.507,14.1,22.3,.630,9.6,28.7,38.3,21.8,11.0,2.8,17.9,21.8,94.0
15,Boston Celtics,6,1465,32.2,77.9,.413,7.7,23.3,.331,24.5,54.6,.448,20.9,24.3,.860,5.8,38.2,44.0,19.0,6.2,3.4,19.6,21.3,92.9
16,Los Angeles Lakers,4,960,37.5,84.7,.442,5.4,20.1,.270,32.0,64.6,.496,12.2,20.1,.608,9.2,34.2,43.4,20.1,6.2,5.7,17.9,19.0,92.5
