--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Ray Allen*,SG,29,SEA,11,11,436,12.7,26.7,.474,3.8,10.2,.378,8.8,16.5,.534,6.9,7.8,.889,1.5,4.3,5.8,5.3,1.7,0.5,4.2,2.7,36.1,,120,114,allenra02
2,Tony Allen,SG,23,BOS,7,3,90,5.0,11.2,.444,0.0,0.0,,5.0,11.2,.444,1.9,4.3,.429,2.5,5.0,7.5,1.2,1.9,1.2,3.1,10.6,11.8,,84,103,allento01
3,Shandon Anderson,SF,31,MIA,8,0,97,1.6,6.6,.250,0.0,0.5,.000,1.6,6.0,.273,1.1,1.1,1.000,1.6,8.8,10.4,4.4,2.7,0.0,3.3,5.5,4.4,,71,100,andersh01
4,Carmelo Anthony*,SF,20,DEN,5,5,180,10.3,24.4,.422,0.0,0.3,.000,10.3,24.1,.427,7.6,9.4,.813,4.1,3.8,7.9,2.9,0.9,0.3,3.8,5.9,28.2,,99,112,anthoca01
5,Gilbert Arenas,PG,23,WAS,10,10,450,8.2,21.8,.376,2.0,8.6,.234,6.2,13.1,.470,8.1,10.5,.766,0.9,4.9,5.8,7.0,2.4,0.7,4.4,3.8,26.5,,102,109,arenagi01
6,Darrell Armstrong,PG,36,DAL,9,0,66,6.3,12.6,.500,1.6,6.3,.250,4.7,6.3,.750,0.0,0.0,,2.4,0.8,3.2,7.1,2.4,1.6,1.6,7.1,14.2,,126,116,armstda01
7,Carlos Arroyo,PG,25,DET,19,0,150,6.0,16.9,.356,0.0,0.4,.000,6.0,16.5,.364,3.0,4.5,.667,0.4,3.4,3.8,14.6,1.5,0.8,3.8,7.1,15.0,,95,103,arroyca01
8,Marcus Banks,PG,23,BOS,7,0,106,6.9,15.3,.448,1.6,3.2,.500,5.3,12.1,.435,1.6,3.2,.500,0.5,5.3,5.8,3.7,2.1,0.0,3.2,8.4,16.9,,94,104,banksma01
9,Leandro Barbosa,PG,22,PHO,12,0,116,5.3,15.4,.343,1.8,4.4,.400,3.5,11.0,.320,0.9,1.8,.500,2.2,5.3,7.5,5.3,1.3,0.0,2.2,3.5,13.2,,96,116,barbole01
10,Brent Barry,SG,33,SAS,23,8,555,4.8,10.4,.457,2.8,6.5,.424,2.0,3.9,.513,1.7,2.1,.810,1.3,4.3,5.5,4.4,1.5,0.4,2.7,4.4,14.0,,115,107,barrybr01
11,Jon Barry,SG,35,HOU,7,0,183,6.3,14.4,.438,3.3,6.9,.478,3.0,7.5,.400,2.1,2.4,.875,0.3,8.4,8.7,2.7,1.5,0.0,1.8,3.9,18.0,,114,115,barryjo01
12,Shane Battier,SG,26,MEM,4,4,119,5.7,13.6,.419,0.4,3.1,.143,5.3,10.6,.500,0.9,2.2,.400,4.4,7.5,11.9,2.6,0.9,1.8,1.8,6.2,12.8,,100,123,battish01
13,Travis Best,PG,32,NJN,4,0,82,5.8,14.1,.409,0.6,5.8,.111,5.1,8.3,.615,5.1,5.8,.889,1.3,2.6,3.8,5.8,0.6,0.0,1.9,5.8,17.3,,110,118,besttr01
14,Mike Bibby,PG,26,SAC,5,5,200,9.6,24.4,.391,1.3,6.1,.217,8.2,18.3,.449,5.6,7.2,.778,1.3,4.5,5.8,8.8,1.9,0.5,3.4,2.9,26.0,,103,119,bibbymi01
15,Chauncey Billups*,PG,28,DET,25,25,985,8.3,19.4,.428,2.5,7.2,.349,5.8,12.2,.474,7.6,8.5,.893,1.3,4.9,6.2,9.3,1.4,0.3,2.8,4.1,26.7,,122,103,billuch01
16,Steve Blake,PG,24,WAS,4,0,17,3.0,11.9,.250,0.0,3.0,.000,3.0,8.9,.333,0.0,0.0,,0.0,8.9,8.9,5.9,0.0,0.0,3.0,8.9,5.9,,61,111,blakest01
17,Mark Blount,C,29,BOS,4,0,43,5.2,18.2,.286,0.0,0.0,,5.2,18.2,.286,0.0,2.6,.000,3.9,3.9,7.8,1.3,0.0,0.0,6.5,7.8,10.4,,52,109,blounma01
18,Bruce Bowen,SF,33,SAS,23,23,814,3.1,8.6,.359,2.0,4.5,.433,1.1,4.1,.279,0.7,1.1,.647,0.6,3.8,4.5,2.4,0.7,0.9,1.0,5.2,8.9,,106,109,bowenbr01
19,Ryan Bowen,SF,29,HOU,7,3,125,3.5,11.0,.320,0.0,0.0,,3.5,11.0,.320,0.9,1.3,.667,3.1,3.1,6.2,2.6,2.6,0.0,2.6,10.1,7.9,,79,116,bowenry01
20,Earl Boykins,PG,28,DEN,5,1,152,9.4,23.7,.397,0.0,2.4,.000,9.4,21.2,.443,5.9,6.6,.895,0.7,1.0,1.7,6.6,1.4,0.3,3.1,4.5,24.7,,95,113,boykiea01
21,Shawn Bradley,C,32,DAL,7,0,27,7.7,11.6,.667,0.0,0.0,,7.7,11.6,.667,1.9,3.9,.500,7.7,3.9,11.6,0.0,0.0,3.9,0.0,13.5,17.4,,151,117,bradlsh01
22,Devin Brown,SG,26,SAS,12,0,60,6.4,18.3,.350,2.7,6.4,.429,3.7,11.9,.308,3.7,6.4,.571,0.9,5.5,6.4,2.7,0.9,0.0,0.9,2.7,19.2,,104,108,brownde02
