--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Tariq Abdul-Wahad,SG,28,DAL,8,0,79,5.9,19.5,.300,0.0,1.3,.000,5.9,18.2,.321,4.6,5.2,.875,7.2,7.2,14.3,4.6,0.0,0.0,0.7,3.9,16.3,,103,115,abdulta01
2,Courtney Alexander,PG,25,NOH,5,0,39,9.9,22.6,.438,1.4,1.4,1.000,8.5,21.2,.400,4.2,5.6,.750,2.8,2.8,5.6,1.4,2.8,0.0,1.4,8.5,25.4,,109,110,alexaco02
3,John Amaechi,C,32,UTA,2,0,16,3.4,13.4,.250,0.0,0.0,,3.4,13.4,.250,6.7,13.4,.500,0.0,3.4,3.4,0.0,0.0,0.0,0.0,13.4,13.4,,84,122,amaecjo01
4,Derek Anderson,PG,28,POR,2,2,22,2.5,9.9,.250,0.0,2.5,.000,2.5,7.4,.333,0.0,2.5,.000,2.5,0.0,2.5,0.0,0.0,0.0,2.5,2.5,5.0,,52,123,anderde01
5,Kenny Anderson,PG,32,NOH,5,0,51,4.3,12.9,.333,0.0,0.0,,4.3,12.9,.333,3.2,3.2,1.000,0.0,2.2,2.2,9.7,3.2,0.0,4.3,6.5,11.9,,89,109,anderke01
6,Darrell Armstrong,PG,34,ORL,7,1,226,4.8,10.6,.455,1.4,4.3,.333,3.4,6.3,.538,4.8,5.3,.909,1.7,2.4,4.1,6.3,1.4,0.0,4.1,5.3,15.9,,109,111,armstda01
7,Carlos Arroyo,PG,23,UTA,3,0,27,6.0,17.9,.333,0.0,0.0,,6.0,17.9,.333,6.0,8.0,.750,4.0,0.0,4.0,10.0,0.0,0.0,0.0,4.0,17.9,,119,125,arroyca01
8,Chucky Atkins,PG,28,DET,17,3,312,5.7,16.2,.352,3.2,8.7,.367,2.5,7.5,.333,3.7,4.6,.808,0.4,3.2,3.6,4.6,3.0,0.0,3.2,6.9,18.3,,97,103,atkinch01
9,Stacey Augmon,SG,34,NOH,4,0,69,4.0,12.0,.333,0.0,0.0,,4.0,12.0,.333,5.6,6.4,.875,0.8,7.2,8.0,2.4,2.4,0.0,2.4,6.4,13.6,,95,107,augmost01
10,Jon Barry,SG,33,DET,14,0,172,7.4,17.4,.426,4.8,10.6,.455,2.6,6.8,.381,2.9,2.9,1.000,1.6,6.1,7.7,6.5,2.6,0.3,2.3,4.5,22.6,,121,102,barryjo01
11,Tony Battie,C,26,BOS,10,10,213,7.7,13.7,.564,0.0,0.7,.000,7.7,13.0,.596,1.0,2.0,.500,3.2,9.0,12.2,1.2,1.0,3.5,1.7,10.5,16.4,,108,100,battito01
12,Raja Bell,SG,26,DAL,17,7,305,6.8,12.3,.548,1.0,2.2,.462,5.7,10.1,.567,1.9,3.4,.550,2.2,6.4,8.6,4.6,0.8,0.0,1.0,6.9,16.4,,127,113,bellra01
13,Jonathan Bender,SF,22,IND,3,0,34,7.9,23.8,.333,4.8,14.3,.333,3.2,9.5,.333,6.4,9.5,.667,4.8,6.4,11.1,0.0,0.0,3.2,0.0,3.2,27.0,,111,109,bendejo01
14,Mike Bibby,PG,24,SAC,12,12,404,7.2,16.9,.422,1.4,4.9,.282,5.8,12.0,.479,3.4,4.3,.794,1.0,2.9,3.9,7.5,1.8,0.6,2.3,3.9,19.1,,110,112,bibbymi01
15,Chauncey Billups*,PG,26,DET,14,14,485,8.1,21.7,.374,3.0,9.6,.310,5.1,12.1,.425,9.6,10.3,.933,0.5,4.9,5.4,7.6,1.0,0.2,3.9,4.3,28.8,,110,106,billuch01
