--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Victor Alexander,C,32,DET,1,0,3,0.0,18.5,.000,0.0,0.0,,0.0,18.5,.000,0.0,0.0,,0.0,18.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,,0,93,alexavi01
2,Derek Anderson,SG,27,POR,3,0,76,8.9,20.6,.433,1.4,4.1,.333,7.6,16.5,.458,11.0,12.4,.889,2.1,2.7,4.8,4.8,1.4,0.0,4.1,0.7,30.2,,112,110,anderde01
3,Kenny Anderson,PG,31,BOS,16,16,560,7.8,18.8,.416,0.0,0.0,,7.8,18.8,.416,2.7,3.3,.800,1.2,3.5,4.8,7.2,2.0,0.0,2.7,5.5,18.3,,98,102,anderke01
4,Darrell Armstrong,PG,33,ORL,4,4,158,6.9,14.5,.476,1.4,5.9,.235,5.5,8.6,.640,5.9,7.2,.810,1.0,2.8,3.8,4.5,1.7,0.0,2.4,4.8,21.0,,114,109,armstda01
5,Chucky Atkins,PG,27,DET,10,10,294,8.1,22.3,.364,2.6,7.4,.359,5.5,14.9,.367,2.5,3.2,.765,0.9,3.6,4.5,6.4,1.1,0.2,2.6,4.7,21.4,,94,101,atkinch01
6,Stacey Augmon,SG,33,CHH,9,0,152,5.6,14.3,.390,0.0,0.0,,5.6,14.3,.390,5.6,7.3,.762,2.4,7.0,9.4,4.5,3.5,0.3,4.2,7.3,16.8,,94,102,augmost01
7,Vin Baker,C,30,SEA,5,4,144,11.4,22.8,.500,0.4,0.4,1.000,11.0,22.4,.491,2.8,3.5,.778,4.3,5.5,9.8,1.6,1.2,2.4,1.6,9.0,26.0,,111,113,bakervi01
8,Dana Barros,PG,34,DET,4,0,6,9.3,27.8,.333,0.0,9.3,.000,9.3,18.5,.500,0.0,0.0,,0.0,0.0,0.0,9.3,0.0,0.0,0.0,18.5,18.5,,85,106,barroda01
9,Brent Barry,SG,30,SEA,5,5,149,5.3,12.9,.412,2.7,6.1,.438,2.7,6.8,.389,1.5,1.5,1.000,2.3,6.5,8.7,5.3,1.1,1.5,3.4,4.6,14.8,,103,113,barrybr01
10,Jon Barry,SG,32,DET,10,0,177,9.1,19.1,.475,5.3,11.9,.447,3.8,7.2,.522,1.6,2.5,.625,1.3,5.0,6.3,6.6,1.6,0.3,6.0,4.4,25.1,,100,99,barryjo01
11,Tony Battie,C,25,BOS,16,16,443,5.1,10.4,.488,0.0,0.0,,5.1,10.4,.488,1.6,2.5,.619,4.7,9.9,14.6,1.6,1.2,3.6,1.3,6.1,11.7,,111,95,battito01
12,Raja Bell,SG,25,PHI,3,0,8,6.9,20.7,.333,0.0,13.8,.000,6.9,6.9,1.000,0.0,0.0,,6.9,0.0,6.9,0.0,0.0,0.0,0.0,0.0,13.8,,89,122,bellra01
13,Jonathan Bender,SF,21,IND,5,0,45,3.5,7.1,.500,0.0,1.2,.000,3.5,5.9,.600,0.0,0.0,,0.0,4.7,4.7,2.4,2.4,3.5,5.9,7.1,7.1,,57,94,bendejo01
14,Mike Bibby,PG,23,SAC,16,16,661,8.8,19.9,.444,1.9,4.6,.424,6.9,15.3,.449,5.5,6.7,.826,1.1,3.6,4.6,6.2,1.8,0.2,2.9,2.3,25.1,,113,107,bibbymi01
15,Chauncey Billups*,PG,25,MIN,3,3,134,8.5,18.9,.451,2.2,5.6,.400,6.3,13.3,.472,5.2,7.4,.700,0.4,5.2,5.6,6.3,1.1,0.4,3.3,5.2,24.5,,111,118,billuch01
16,Corie Blount,PF,33,PHI,5,0,88,1.3,5.0,.250,0.0,0.0,,1.3,5.0,.250,1.9,2.5,.750,6.3,2.5,8.8,1.3,1.3,1.3,2.5,5.6,4.4,,88,116,blounco01
17,Mark Blount,C,26,BOS,4,0,39,2.7,5.5,.500,0.0,0.0,,2.7,5.5,.500,2.7,2.7,1.000,4.1,5.5,9.6,1.4,2.7,2.7,1.4,9.6,8.2,,126,96,blounma01
18,Bruce Bowen,SF,30,SAS,10,10,345,4.1,9.9,.410,1.8,4.1,.440,2.3,5.8,.389,1.1,2.3,.500,1.5,3.9,5.4,2.3,1.8,1.1,1.1,4.5,11.0,,106,105,bowenbr01
19,Michael Bradley,PF,22,TOR,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,18.7,18.7,18.7,0.0,0.0,0.0,18.7,0.0,,210,98,bradlmi01
20,Shawn Bradley,C,29,DAL,7,0,25,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,0.0,,2.0,8.0,10.0,0.0,0.0,2.0,2.0,17.9,12.0,,92,111,bradlsh01
21,Jamison Brewer,SG,21,IND,2,0,6,0.0,17.7,.000,0.0,0.0,,0.0,17.7,.000,8.8,17.7,.500,17.7,17.7,35.3,8.8,0.0,0.0,8.8,26.5,8.8,,66,94,breweja01
22,Chucky Brown,SF,33,SAC,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,51.1,51.1,0.0,0.0,0.0,0.0,51.1,0.0,,,71,brownch01
23,Kedrick Brown,SF,20,BOS,2,0,3,35.6,35.6,1.000,17.8,17.8,1.000,17.8,17.8,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,17.8,0.0,0.0,89.0,,250,90,brownke01
24,P.J. Brown,C,32,CHH,9,9,331,5.1,12.0,.427,0.0,0.0,,5.1,12.0,.427,4.5,5.9,.757,4.7,9.1,13.8,2.2,1.0,1.9,1.3,5.9,14.8,,116,104,brownpj01
25,Rick Brunson,PG,29,POR,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,115,brunsri01
26,Kobe Bryant*,SG,23,LAL,19,19,833,11.8,27.1,.434,1.4,3.7,.379,10.4,23.5,.442,6.9,9.1,.759,1.8,5.2,7.0,5.5,1.7,1.1,3.4,4.1,31.9,,106,103,bryanko01
27,Mark Bryant,PF,36,SAS,9,4,91,5.5,12.3,.450,0.0,0.0,,5.5,12.3,.450,1.8,3.7,.500,4.9,2.5,7.4,0.6,0.6,1.2,0.6,8.6,12.9,,109,108,bryanma01
28,Greg Buckner,SG,25,DAL,7,0,105,5.7,11.9,.480,0.0,0.5,.000,5.7,11.4,.500,1.4,1.9,.750,6.2,6.2,12.3,1.9,1.4,0.5,1.4,7.1,12.8,,116,112,buckngr01
29,Jud Buechler,SF,33,ORL,2,0,10,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.4,5.4,5.4,5.4,0.0,0.0,0.0,0.0,,213,100,buechju01
30,Elden Campbell,PF,33,CHH,9,9,254,10.2,23.0,.445,0.0,0.2,.000,10.2,22.8,.450,5.0,7.1,.706,2.9,9.6,12.5,3.3,1.3,4.8,3.6,7.1,25.5,,100,100,campbel01
31,Chris Childs,PG,34,TOR,5,4,163,7.2,18.6,.389,2.8,5.8,.471,4.5,12.7,.351,3.1,3.4,.900,0.7,5.8,6.5,12.7,1.4,0.0,6.9,5.2,20.3,,94,104,childch01
