--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Arron Afflalo,SG,25,DEN,3,3,85,7.2,20.4,.353,1.8,7.2,.250,5.4,13.2,.409,4.2,4.8,.875,0.0,5.4,5.4,4.2,0.0,0.0,1.8,6.0,20.4,,92,114,afflaar01
2,LaMarcus Aldridge,PF,25,POR,6,6,258,11.9,25.8,.461,0.0,0.0,,11.9,25.8,.461,4.3,5.4,.792,3.6,6.5,10.1,1.8,1.8,2.2,2.0,4.3,28.0,,104,111,aldrila01
3,Malik Allen,PF,32,ORL,1,0,7,0.0,7.9,.000,0.0,0.0,,0.0,7.9,.000,7.9,15.8,.500,0.0,7.9,7.9,0.0,0.0,0.0,0.0,15.8,7.9,,64,103,allenma01
4,Ray Allen*,SG,35,BOS,9,9,361,8.5,16.3,.523,4.8,8.4,.571,3.7,7.9,.472,3.6,3.7,.960,0.7,4.3,5.1,3.3,1.6,0.1,1.5,3.1,25.4,,136,106,allenra02
5,Tony Allen,SG,29,MEM,13,13,350,6.6,15.4,.426,0.2,1.1,.143,6.4,14.3,.447,4.1,6.2,.659,2.3,3.5,5.8,3.0,3.8,0.8,3.7,6.6,17.4,,92,104,allento01
6,Chris Andersen,C,32,DEN,5,0,73,4.9,7.7,.636,0.0,0.0,,4.9,7.7,.636,7.0,9.8,.714,3.5,6.3,9.8,2.1,2.1,4.9,2.1,5.6,16.8,,131,104,anderch01
7,Ryan Anderson,PF,22,ORL,6,0,147,3.0,11.3,.267,2.3,7.5,.300,0.8,3.8,.200,2.3,2.3,1.000,3.8,6.4,10.2,1.1,1.9,0.4,0.4,6.0,10.6,,109,101,anderry01
8,Carmelo Anthony*,SF,26,NYK,4,4,156,11.1,29.5,.375,3.0,8.7,.346,8.1,20.8,.387,9.7,11.4,.853,4.4,9.4,13.8,6.4,1.7,1.0,4.4,5.4,34.9,,108,106,anthoca01
9,Joel Anthony,C,28,MIA,21,13,575,1.7,4.7,.367,0.0,0.0,,1.7,4.7,.367,2.1,3.0,.710,3.4,6.0,9.4,1.0,0.8,3.7,1.3,5.2,5.6,,105,104,anthojo01
10,Gilbert Arenas,PG,29,ORL,5,0,81,12.3,28.7,.429,2.1,8.2,.250,10.3,20.5,.500,2.7,4.1,.667,2.7,6.8,9.6,8.2,0.7,0.7,4.1,9.6,29.4,,102,102,arenagi01
