--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Álex Abrines,SG,23,OKC,5,0,80,4.9,14.0,.348,3.0,10.3,.294,1.8,3.7,.500,1.8,2.4,.750,1.2,4.3,5.5,2.4,0.0,0.0,0.0,4.9,14.6,,114,121,abrinal01
2,Steven Adams,C,23,OKC,5,5,157,5.6,8.7,.643,0.0,0.0,,5.6,8.7,.643,1.2,3.4,.364,5.3,5.3,10.5,2.2,1.9,2.8,1.2,4.3,12.4,,127,113,adamsst01
3,LaMarcus Aldridge,PF,31,SAS,16,16,537,10.5,23.0,.458,0.2,1.3,.143,10.4,21.7,.478,4.0,5.3,.764,4.1,7.3,11.4,2.3,1.0,1.5,2.7,3.9,25.3,,105,113,aldrila01
4,Lavoy Allen,PF,27,IND,3,0,11,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.2,9.2,0.0,0.0,0.0,4.6,0.0,0.0,,0,123,allenla01
5,Al-Farouq Aminu,PF,26,POR,4,0,113,7.1,15.4,.459,2.9,7.1,.412,4.2,8.3,.500,2.9,4.6,.636,2.1,8.7,10.8,1.7,1.2,1.7,3.7,3.7,19.9,,100,116,aminual01
6,Kyle Anderson,SF,23,SAS,15,1,195,9.5,16.9,.563,0.8,2.6,.300,8.7,14.3,.611,2.1,2.9,.727,3.2,9.0,12.1,6.6,2.6,0.5,1.8,2.1,21.9,,128,110,anderky01
7,Ryan Anderson,PF,28,HOU,11,9,336,5.3,13.6,.391,2.5,8.9,.283,2.8,4.7,.594,2.1,2.4,.875,2.2,6.2,8.4,1.0,0.6,0.3,1.3,3.6,15.3,,107,113,anderry01
8,Giannis Antetokounmpo,SF,22,MIL,6,6,243,13.1,24.5,.536,0.9,2.2,.400,12.2,22.3,.549,5.5,10.0,.543,2.2,10.3,12.4,5.2,2.8,2.2,4.4,4.6,32.5,,104,98,antetgi01
9,Joel Anthony,C,34,SAS,3,0,15,10.3,13.7,.750,0.0,0.0,,10.3,13.7,.750,0.0,3.4,.000,6.9,6.9,13.7,0.0,0.0,6.9,3.4,6.9,20.6,,114,108,anthojo01
10,Trevor Ariza,SF,31,HOU,11,11,413,4.9,11.7,.423,2.8,7.4,.377,2.2,4.3,.500,1.6,1.7,.929,1.0,5.8,6.8,2.8,1.7,0.2,1.1,3.0,14.2,,118,111,arizatr01
11,Wade Baldwin,PG,20,MEM,3,0,12,0.0,4.7,.000,0.0,0.0,,0.0,4.7,.000,9.3,9.3,1.000,4.7,14.0,18.6,9.3,0.0,0.0,0.0,14.0,9.3,,159,118,baldwwa01
12,Matt Barnes,SF,36,GSW,12,0,61,3.1,11.8,.267,0.8,6.3,.125,2.4,5.5,.429,0.0,0.0,,0.0,7.1,7.1,5.5,1.6,0.0,2.4,7.1,7.1,,72,107,barnema02
13,Brandon Bass,PF,31,LAC,1,0,4,13.4,40.1,.333,0.0,0.0,,13.4,40.1,.333,0.0,0.0,,13.4,0.0,13.4,0.0,13.4,0.0,0.0,0.0,26.7,,88,88,bassbr01
14,Kent Bazemore,SF,27,ATL,6,0,150,6.8,17.2,.396,2.3,7.8,.292,4.6,9.4,.483,3.3,4.6,.714,1.3,6.2,7.5,6.5,1.3,1.6,5.2,4.9,19.2,,92,108,bazemke01
15,Bradley Beal,SG,23,WAS,13,13,505,12.0,25.5,.471,2.9,9.9,.287,9.1,15.5,.589,4.9,6.0,.820,1.5,2.9,4.3,3.4,2.1,0.8,2.7,3.7,31.7,,113,113,bealbr01
16,Michael Beasley,PF,28,MIL,4,0,48,7.7,22.1,.350,3.3,5.5,.600,4.4,16.6,.267,0.0,4.4,.000,2.2,7.7,9.9,1.1,1.1,1.1,2.2,8.8,18.8,,76,105,beaslmi01
17,Dāvis Bertāns,PF,24,SAS,13,0,112,5.5,12.4,.444,3.7,9.2,.400,1.8,3.2,.571,1.8,2.8,.667,2.3,6.9,9.2,1.4,1.4,1.8,2.8,3.2,16.6,,110,112,bertada01
18,Patrick Beverley,SG,28,HOU,11,11,325,6.9,16.7,.413,3.2,8.0,.404,3.7,8.7,.421,1.7,2.1,.786,3.2,6.1,9.3,5.1,2.5,0.3,2.8,5.8,18.7,,109,109,beverpa01
19,Bojan Bogdanović,SF,27,WAS,13,0,264,6.8,16.4,.414,3.0,8.5,.356,3.8,7.9,.476,5.1,6.0,.844,1.9,8.6,10.5,1.7,1.1,0.2,1.5,3.2,21.6,,117,113,bogdabo02
20,Joel Bolomboy,PF,23,UTA,2,0,9,11.6,17.4,.667,0.0,0.0,,11.6,17.4,.667,0.0,0.0,,0.0,11.6,11.6,0.0,0.0,5.8,0.0,0.0,23.2,,126,106,bolomjo01
21,Avery Bradley,SG,26,BOS,18,18,645,9.5,21.6,.441,3.2,9.0,.351,6.3,12.5,.506,1.7,2.1,.778,1.4,4.2,5.6,3.2,1.8,0.2,2.5,3.2,23.9,,102,116,bradlav01
22,Malcolm Brogdon,SG,24,MIL,6,6,183,6.4,15.9,.400,2.9,6.1,.476,3.5,9.9,.353,0.0,0.0,,0.9,6.7,7.5,6.1,0.9,0.6,3.5,3.5,15.7,,92,107,brogdma01
23,Aaron Brooks,PG,32,IND,1,0,7,14.5,21.7,.667,7.2,14.5,.500,7.2,7.2,1.000,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,7.2,0.0,36.2,,121,124,brookaa01
24,Bobby Brown,PG,32,HOU,5,0,22,22.6,45.3,.500,11.3,24.9,.455,11.3,20.4,.556,0.0,0.0,,0.0,4.5,4.5,2.3,0.0,0.0,0.0,2.3,56.6,,117,116,brownbo02
25,Jaylen Brown,SF,20,BOS,17,0,215,8.1,16.9,.479,1.2,5.5,.217,6.9,11.4,.604,2.9,4.3,.667,2.9,5.7,8.6,3.1,1.4,0.5,3.1,6.2,20.2,,102,116,brownja02
26,Trey Burke,PG,24,WAS,3,0,20,0.0,9.9,.000,0.0,5.0,.000,0.0,5.0,.000,0.0,0.0,,0.0,0.0,0.0,12.4,0.0,0.0,0.0,5.0,0.0,,64,120,burketr01
27,Jimmy Butler,SF,27,CHI,6,6,239,10.0,23.5,.426,1.3,5.0,.261,8.7,18.5,.471,8.3,10.2,.809,2.0,7.6,9.6,5.7,2.2,1.1,3.3,2.2,29.7,,111,111,butleji01
28,José Calderón,PG,35,ATL,6,0,75,7.2,15.0,.478,2.6,7.8,.333,4.6,7.2,.636,0.0,0.0,,1.3,3.9,5.2,8.5,1.3,0.7,2.6,5.9,16.9,,115,110,caldejo01
29,Isaiah Canaan,SG,25,CHI,3,2,95,7.1,14.3,.500,2.7,7.7,.357,4.4,6.6,.667,2.2,3.3,.667,0.0,2.2,2.2,2.2,1.6,0.0,2.7,3.3,19.2,,109,116,canaais01
30,Clint Capela,C,22,HOU,11,11,286,8.0,14.3,.561,0.0,0.2,.000,8.0,14.1,.568,4.2,6.8,.615,4.5,12.2,16.7,2.1,1.4,4.9,1.4,4.9,20.2,,124,102,capelca01
31,DeMarre Carroll,SF,30,TOR,10,7,155,5.0,12.3,.405,2.3,7.3,.318,2.7,5.0,.533,1.7,3.0,.556,1.3,7.6,9.0,1.7,2.7,1.7,1.7,4.3,14.0,,98,106,carrode01
32,Vince Carter*,SF,40,MEM,6,6,195,5.7,12.0,.476,2.3,5.7,.400,3.4,6.3,.545,2.0,2.0,1.000,1.1,4.6,5.7,2.6,0.6,0.0,2.9,4.3,15.8,,106,123,cartevi01
33,Michael Carter-Williams,PG,25,CHI,5,0,53,5.9,14.7,.400,0.0,1.0,.000,5.9,13.8,.429,2.0,3.9,.500,1.0,2.9,3.9,5.9,2.0,1.0,5.9,5.9,13.8,,76,114,cartemi01
34,Semaj Christon,PG,24,OKC,2,0,21,4.6,11.6,.400,2.3,7.0,.333,2.3,4.6,.500,0.0,0.0,,0.0,7.0,7.0,11.6,2.3,0.0,0.0,2.3,11.6,,136,115,chrisse01
35,Ian Clark,SG,25,GSW,16,0,219,8.7,17.3,.506,2.8,7.9,.361,5.9,9.4,.628,3.5,3.7,.941,0.9,4.8,5.7,2.4,1.3,0.0,2.4,3.7,23.8,,115,110,clarkia01
36,Norris Cole,PG,28,OKC,4,0,25,3.9,15.6,.250,1.9,7.8,.250,1.9,7.8,.250,0.0,0.0,,0.0,1.9,1.9,1.9,0.0,1.9,3.9,7.8,9.7,,58,120,coleno01
37,Mike Conley,PG,29,MEM,6,6,224,12.5,25.7,.485,4.2,9.5,.447,8.2,16.2,.508,7.7,9.2,.838,0.2,4.7,5.0,10.5,2.5,0.7,3.0,2.7,36.9,,125,118,conlemi01
38,Pat Connaughton,SG,24,POR,3,0,24,3.9,17.6,.222,0.0,11.7,.000,3.9,5.9,.667,5.9,5.9,1.000,2.0,11.7,13.7,7.8,0.0,0.0,0.0,0.0,13.7,,95,120,connapa01
39,Allen Crabbe,SG,24,POR,4,0,92,4.6,12.2,.375,1.5,6.6,.231,3.1,5.6,.545,0.5,1.5,.333,0.0,6.1,6.1,1.0,0.5,0.0,0.5,4.6,11.2,,90,121,crabbal01
40,Jamal Crawford,SG,36,LAC,7,0,196,9.5,22.6,.422,1.6,6.8,.240,7.9,15.8,.500,3.3,3.3,1.000,0.5,1.9,2.5,3.5,1.1,0.3,2.5,3.3,24.0,,98,113,crawfja01
