--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Arron Afflalo,SG,22,DET,12,0,84,4.7,12.1,.389,0.0,1.3,.000,4.7,10.8,.438,0.0,0.0,,0.0,3.4,3.4,4.0,2.7,0.0,0.7,3.4,9.4,,91,107,afflaar01
2,Malik Allen,PF,29,DAL,3,0,18,0.0,3.1,.000,0.0,0.0,,0.0,3.1,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,,0,125,allenma01
3,Ray Allen*,SG,32,BOS,26,26,987,7.5,17.6,.428,3.1,7.9,.396,4.4,9.7,.453,4.8,5.2,.913,1.4,4.1,5.5,4.0,1.4,0.5,2.2,3.6,22.9,,117,107,allenra02
4,Tony Allen,SG,26,BOS,15,0,65,7.7,13.7,.563,0.0,0.9,.000,7.7,12.9,.600,1.7,4.3,.400,0.9,1.7,2.6,2.6,1.7,0.0,0.9,4.3,17.2,,113,108,allento01
5,Rafer Alston,PG,31,HOU,4,4,126,9.4,21.6,.438,4.9,11.2,.440,4.5,10.3,.435,1.8,2.2,.800,0.9,1.8,2.7,8.1,1.8,0.0,2.7,3.1,25.6,,117,111,alstora01
6,Lou Amundson,PF,25,PHI,2,0,10,11.2,22.3,.500,0.0,0.0,,11.2,22.3,.500,5.6,11.2,.500,27.9,11.2,39.1,0.0,0.0,0.0,0.0,11.2,27.9,,135,109,amundlo01
7,Carmelo Anthony*,SF,23,DEN,4,4,146,10.8,29.7,.364,0.7,2.7,.250,10.1,27.0,.375,8.1,9.8,.828,6.4,6.4,12.8,2.7,0.7,0.3,4.1,5.7,30.4,,99,120,anthoca01
8,Gilbert Arenas,PG,26,WAS,4,2,94,8.1,20.9,.389,2.9,7.0,.417,5.2,13.9,.375,5.8,7.0,.833,0.0,4.1,4.1,6.4,1.2,0.0,4.6,7.6,25.0,,98,113,arenagi01
9,Trevor Ariza,SF,22,LAL,8,0,45,8.1,13.8,.583,1.2,4.6,.250,6.9,9.2,.750,2.3,4.6,.500,3.5,9.2,12.7,1.2,1.2,1.2,1.2,8.1,19.6,,123,107,arizatr01
10,Hilton Armstrong,C,23,NOH,8,0,72,6.2,10.0,.615,0.0,0.0,,6.2,10.0,.615,3.8,7.7,.500,6.9,8.5,15.4,0.0,0.0,4.6,3.1,9.2,16.2,,113,106,armsthi01
11,Carlos Arroyo,PG,28,ORL,4,0,30,3.7,7.3,.500,0.0,1.8,.000,3.7,5.5,.667,3.7,3.7,1.000,0.0,3.7,3.7,7.3,0.0,0.0,5.5,7.3,11.0,,95,115,arroyca01
12,Chucky Atkins,SG,33,DEN,1,0,3,0.0,16.4,.000,0.0,16.4,.000,0.0,0.0,,0.0,0.0,,0.0,16.4,16.4,0.0,0.0,0.0,0.0,0.0,0.0,,0,116,atkinch01
13,James Augustine,PF,23,ORL,1,0,2,27.4,27.4,1.000,0.0,0.0,,27.4,27.4,1.000,0.0,0.0,,0.0,27.4,27.4,0.0,0.0,0.0,0.0,0.0,54.9,,200,100,augusja01
14,Leandro Barbosa,SG,25,PHO,5,1,143,6.9,19.9,.345,1.4,6.5,.222,5.4,13.4,.405,3.6,4.0,.909,0.7,6.5,7.2,3.3,1.1,0.0,1.4,3.6,18.8,,93,108,barbole01
15,J.J. Barea,PG,23,DAL,1,0,5,33.1,44.1,.750,22.1,22.1,1.000,11.0,22.1,.500,0.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,88.3,,184,125,bareajo01
16,Andrea Bargnani,PF,22,TOR,5,5,104,6.6,19.9,.333,2.0,8.2,.250,4.6,11.8,.391,1.0,1.0,1.000,0.5,3.1,3.6,1.0,2.0,1.5,1.0,7.7,16.4,,82,116,bargnan01
17,Brent Barry,SF,36,SAS,16,0,227,6.1,12.5,.491,4.5,9.7,.463,1.7,2.8,.583,2.8,3.5,.800,0.5,3.8,4.3,4.0,1.4,0.5,2.1,5.2,19.6,,125,107,barrybr01
18,Brandon Bass,C,22,DAL,5,0,133,7.1,14.9,.472,0.0,0.4,.000,7.1,14.5,.486,10.0,10.4,.960,8.3,5.8,14.1,0.8,1.2,1.2,1.2,5.0,24.1,,139,118,bassbr01
19,Maceo Baston,PF,32,TOR,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,53.1,0.0,0.0,0.0,0.0,,,5,bastoma01
20,Shane Battier,SF,29,HOU,6,6,246,4.6,10.4,.444,2.8,5.8,.480,1.8,4.6,.400,1.8,2.5,.727,1.6,3.7,5.3,0.7,1.4,1.2,1.8,4.4,13.8,,112,110,battish01
21,Raja Bell,SG,31,PHO,5,5,215,5.1,8.9,.568,3.1,4.8,.650,1.9,4.1,.471,3.1,3.9,.813,1.4,5.3,6.7,2.7,0.5,0.2,1.2,4.6,16.4,,145,110,bellra01
22,Mike Bibby,PG,29,ATL,7,7,252,4.9,14.4,.338,1.6,5.3,.292,3.3,9.1,.366,4.7,7.1,.656,0.7,4.2,4.9,4.9,0.9,0.4,2.9,2.7,16.0,,94,119,bibbymi01
23,Chauncey Billups*,PG,31,DET,15,15,480,8.1,20.3,.401,2.8,7.6,.375,5.3,12.8,.417,9.3,11.2,.832,0.7,4.5,5.2,9.8,1.4,0.1,2.4,3.8,28.5,,122,109,billuch01
24,Andray Blatche,PF,21,WAS,6,0,89,5.5,12.9,.429,0.0,0.6,.000,5.5,12.3,.450,2.5,7.4,.333,4.3,8.0,12.3,0.6,1.2,3.7,3.1,9.2,13.5,,83,106,blatcan01
25,Keith Bogans,SG,27,ORL,10,0,293,4.7,12.7,.368,2.8,8.4,.333,1.9,4.3,.435,1.5,2.1,.727,0.7,7.1,7.9,2.1,0.7,0.0,1.3,4.9,13.7,,106,112,boganke01
26,Matt Bonner,PF,27,SAS,2,0,9,11.9,17.9,.667,0.0,0.0,,11.9,17.9,.667,0.0,0.0,,0.0,11.9,11.9,11.9,0.0,0.0,0.0,0.0,23.8,,149,106,bonnema01
27,Carlos Boozer,PF,26,UTA,12,12,441,9.3,22.4,.415,0.0,0.0,,9.3,22.4,.415,4.9,6.8,.714,5.1,12.8,18.0,4.2,0.7,0.2,4.4,5.7,23.5,,97,109,boozeca01
28,Chris Bosh*,C,23,TOR,5,5,199,11.2,23.8,.472,0.3,1.9,.143,10.9,21.9,.500,9.3,11.2,.833,5.3,6.7,12.0,4.8,2.1,0.5,3.5,5.1,32.0,,114,114,boshch01
29,Bruce Bowen,SF,36,SAS,17,17,508,3.9,9.8,.398,2.3,5.7,.407,1.6,4.1,.385,0.8,1.2,.727,0.2,3.3,3.5,2.4,1.2,0.6,1.0,4.3,11.0,,105,107,bowenbr01
30,Ryan Bowen,SF,32,NOH,9,0,39,1.4,8.5,.167,0.0,1.4,.000,1.4,7.1,.200,2.8,2.8,1.000,4.3,15.6,19.9,2.8,1.4,0.0,1.4,1.4,5.7,,87,103,bowenry01
