--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Ray Allen*,SG,25,MIL,18,18,768,11.2,23.4,.477,4.0,8.4,.479,7.2,15.0,.476,5.6,6.1,.919,1.3,3.9,5.2,7.6,1.7,0.7,3.0,3.1,32.0,,124,109,allenra02
2,Rafer Alston,PG,24,MIL,5,0,8,0.0,6.8,.000,0.0,0.0,,0.0,6.8,.000,0.0,0.0,,0.0,0.0,0.0,6.8,0.0,0.0,13.6,0.0,0.0,,17,116,alstora01
3,John Amaechi,C,30,ORL,4,0,29,5.3,14.3,.375,0.0,0.0,,5.3,14.3,.375,5.3,7.1,.750,1.8,3.6,5.3,5.3,5.3,3.6,0.0,3.6,16.0,,116,107,amaecjo01
4,Derek Anderson,SG,26,SAS,7,7,194,4.4,16.8,.262,1.7,6.1,.273,2.8,10.8,.256,4.4,5.8,.762,0.8,4.4,5.2,4.7,0.8,0.0,4.1,2.8,14.9,,77,107,anderde01
5,Greg Anthony,PG,33,POR,2,0,17,6.2,18.5,.333,3.1,9.3,.333,3.1,9.3,.333,0.0,0.0,,0.0,0.0,0.0,0.0,3.1,0.0,3.1,6.2,15.4,,72,116,anthogr01
6,Darrell Armstrong,PG,32,ORL,4,4,167,5.3,13.9,.378,2.2,5.9,.368,3.1,8.0,.385,3.7,4.0,.923,1.5,5.3,6.8,5.9,2.5,0.6,3.4,3.1,16.4,,103,114,armstda01
7,Stacey Augmon,SG,32,POR,2,0,28,7.5,18.7,.400,0.0,0.0,,7.5,18.7,.400,3.7,3.7,1.000,1.9,5.6,7.5,7.5,1.9,0.0,1.9,5.6,18.7,,103,114,augmost01
8,William Avery,PG,21,MIN,2,0,12,13.7,27.4,.500,4.6,9.1,.500,9.1,18.2,.500,0.0,0.0,,0.0,4.6,4.6,9.1,0.0,4.6,0.0,0.0,31.9,,127,103,averywi01
9,Jon Barry,SG,31,SAC,7,0,55,6.3,15.4,.412,1.8,6.3,.286,4.5,9.1,.500,0.0,0.0,,2.7,0.0,2.7,3.6,0.9,0.0,2.7,6.3,14.5,,97,109,barryjo01
10,Raja Bell,SG,24,PHI,15,0,124,5.3,12.0,.444,0.9,3.6,.250,4.5,8.5,.526,3.6,6.2,.571,1.8,4.0,5.8,3.1,6.7,0.0,2.2,8.9,15.1,,103,98,bellra01
11,Jonathan Bender,SF,20,IND,1,0,4,0.0,13.8,.000,0.0,0.0,,0.0,13.8,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,,0,117,bendejo01
