--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Shareef Abdur-Rahim,PF,29,SAC,6,0,129,9.7,18.2,.535,0.0,1.3,.000,9.7,16.9,.575,3.8,6.3,.600,3.4,8.9,12.3,3.0,0.8,0.0,5.5,11.4,23.3,,98,120,abdursh01
2,Malik Allen,PF,27,CHI,6,6,116,6.1,13.2,.467,0.0,0.0,,6.1,13.2,.467,0.0,0.4,.000,2.2,5.7,7.9,3.1,0.9,2.6,4.4,7.0,12.3,,80,106,allenma01
3,Derek Anderson,SG,31,MIA,8,0,66,4.8,16.1,.300,4.0,11.3,.357,0.8,4.8,.167,5.6,6.4,.875,0.0,7.3,7.3,4.0,1.6,0.0,2.4,10.5,19.3,,104,103,anderde01
4,Shandon Anderson,SF,32,MIA,13,0,90,2.4,7.7,.308,0.6,1.8,.333,1.8,5.9,.300,2.4,3.5,.667,1.8,5.3,7.1,2.4,0.0,0.6,3.5,4.7,7.7,,77,107,andersh01
5,Carmelo Anthony*,SF,21,DEN,5,5,193,8.9,26.8,.333,0.0,1.1,.000,8.9,25.7,.347,10.5,14.1,.750,3.2,5.7,8.9,3.8,1.1,0.3,4.1,5.4,28.4,,91,105,anthoca01
6,Gilbert Arenas,PG,24,WAS,6,6,284,12.2,26.3,.464,3.8,8.7,.435,8.5,17.7,.479,10.2,13.2,.771,1.3,4.9,6.2,6.0,2.4,0.8,3.8,4.0,38.4,,119,108,arenagi01
7,Darrell Armstrong,PG,37,DAL,11,0,47,3.4,17.2,.200,0.0,8.0,.000,3.4,9.2,.375,2.3,2.3,1.000,1.1,6.9,8.0,2.3,3.4,1.1,1.1,10.3,9.2,,65,101,armstda01
8,Chucky Atkins,PG,31,MEM,4,4,103,8.4,20.8,.405,2.2,6.2,.364,6.2,14.6,.423,2.8,4.5,.625,0.0,1.7,1.7,6.7,1.1,0.0,2.2,8.4,21.9,,100,120,atkinch01
9,Leandro Barbosa,SG,23,PHO,20,3,632,8.5,18.0,.470,2.2,5.7,.391,6.3,12.3,.507,4.1,4.8,.862,0.4,2.2,2.6,4.4,1.2,0.3,2.4,5.4,23.3,,111,116,barbole01
10,Brent Barry,SG,34,SAS,13,2,301,6.1,11.0,.557,3.1,6.1,.500,3.1,4.9,.630,2.9,3.8,.762,0.5,5.2,5.8,4.0,1.6,0.5,1.6,5.2,18.2,,135,113,barrybr01
11,Shane Battier,SF,27,MEM,4,4,129,4.5,9.0,.500,0.9,3.1,.286,3.6,5.8,.615,0.9,2.7,.333,3.1,7.2,10.3,0.9,1.8,0.9,3.6,7.2,10.8,,88,113,battish01
12,Charlie Bell,SG,26,MIL,5,0,108,8.5,21.6,.395,2.5,5.5,.455,6.0,16.1,.375,3.5,3.5,1.000,1.0,0.5,1.5,3.5,1.5,1.0,2.0,7.5,23.1,,104,124,bellch01
13,Raja Bell,SG,29,PHO,17,17,673,6.1,12.7,.479,3.1,6.6,.465,3.0,6.1,.494,2.6,3.2,.829,0.6,3.1,3.7,2.9,0.8,0.3,0.8,5.4,17.9,,126,116,bellra01
