--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Arron Afflalo,SG,23,DET,4,0,66,8.7,18.3,.476,1.7,8.7,.200,7.0,9.6,.727,2.6,4.4,.600,0.9,1.7,2.6,0.9,0.0,1.7,2.6,7.9,21.8,,96,117,afflaar01
2,LaMarcus Aldridge,PF,23,POR,6,6,237,12.3,25.1,.490,0.2,1.0,.250,12.1,24.1,.500,3.4,4.8,.700,2.2,8.7,10.9,1.9,0.7,2.4,2.4,3.9,28.2,,104,110,aldrila01
3,Ray Allen*,SG,33,BOS,14,14,565,7.7,19.2,.403,3.3,9.3,.350,4.5,9.9,.453,5.1,5.4,.948,1.2,3.9,5.1,3.4,1.4,0.5,2.3,3.3,23.8,,110,109,allenra02
4,Tony Allen,SG,27,BOS,10,0,60,3.5,7.0,.500,0.0,0.0,,3.5,7.0,.500,0.9,0.9,1.000,0.9,7.0,7.9,2.6,1.8,0.0,0.9,3.5,7.9,,111,107,allento01
5,Rafer Alston,PG,32,ORL,23,23,740,7.7,20.3,.380,2.6,8.2,.319,5.1,12.1,.422,2.4,3.2,.750,0.2,3.9,4.1,6.8,2.4,0.3,2.9,3.9,20.4,,97,106,alstora01
6,Chris Andersen,C,30,DEN,15,0,328,5.4,8.6,.630,0.0,0.2,.000,5.4,8.4,.642,4.6,7.0,.659,4.6,10.5,15.0,1.4,0.8,5.1,1.3,6.7,15.4,,136,103,anderch01
7,Carmelo Anthony*,SF,24,DEN,16,16,612,12.4,27.3,.453,2.0,5.6,.364,10.4,21.7,.477,10.1,12.2,.826,2.2,5.7,7.9,5.5,2.4,0.8,3.1,5.1,36.9,,116,108,anthoca01
8,Joel Anthony,C,26,MIA,6,2,88,2.6,3.3,.800,0.0,0.0,,2.6,3.3,.800,1.3,1.3,1.000,5.9,6.6,12.5,1.3,0.0,4.6,0.7,5.9,6.6,,172,106,anthojo01
9,Trevor Ariza,SF,23,LAL,23,23,722,6.7,13.5,.497,2.9,6.1,.476,3.8,7.4,.515,2.6,4.7,.563,1.6,5.5,7.1,3.9,2.6,0.7,2.8,5.3,19.0,,114,103,arizatr01
10,Hilton Armstrong,C,24,NOH,4,1,53,6.1,13.1,.462,0.0,0.0,,6.1,13.1,.462,3.0,10.1,.300,3.0,5.0,8.1,1.0,4.0,1.0,6.1,15.1,15.1,,69,115,armsthi01
11,Renaldo Balkman,PF,24,DEN,8,0,20,5.2,15.6,.333,0.0,2.6,.000,5.2,13.0,.400,0.0,0.0,,5.2,5.2,10.4,2.6,10.4,0.0,0.0,7.8,10.4,,98,91,balkmre01
12,J.J. Barea,SG,24,DAL,10,4,221,7.5,17.1,.437,1.2,3.9,.313,6.3,13.3,.473,2.2,3.1,.692,0.7,4.1,4.8,8.2,0.7,0.0,1.4,3.1,18.4,,113,118,bareajo01
13,Brent Barry,SG,37,HOU,4,0,35,7.8,15.7,.500,4.7,12.6,.375,3.1,3.1,1.000,0.0,0.0,,0.0,6.3,6.3,4.7,3.1,0.0,6.3,4.7,20.4,,95,104,barrybr01
14,Brandon Bass,C,23,DAL,10,0,192,9.2,16.7,.550,0.0,0.0,,9.2,16.7,.550,7.8,8.6,.903,3.6,7.8,11.4,1.9,1.9,1.1,1.1,6.1,26.1,,135,112,bassbr01
15,Tony Battie,PF,32,ORL,21,0,128,8.8,18.9,.467,0.0,0.0,,8.8,18.9,.467,1.3,2.1,.600,2.9,5.5,8.4,0.8,0.0,1.3,0.8,5.0,18.9,,101,109,battito01
16,Shane Battier,SG,30,HOU,13,13,496,3.7,9.0,.407,1.9,6.0,.315,1.8,3.0,.593,2.4,2.5,.957,2.3,4.8,7.1,3.4,1.6,1.0,1.7,3.7,11.6,,118,107,battish01
17,Nicolas Batum,SF,20,POR,6,5,63,4.5,8.2,.556,1.8,3.6,.500,2.7,4.5,.600,0.0,0.0,,0.9,1.8,2.7,0.9,0.9,1.8,2.7,6.4,10.9,,101,114,batumni01
18,Jerryd Bayless,PG,20,POR,2,0,11,10.4,31.2,.333,0.0,5.2,.000,10.4,26.0,.400,10.4,15.6,.667,0.0,5.2,5.2,0.0,0.0,5.2,5.2,0.0,31.2,,77,110,bayleje01
19,Michael Beasley,PF,20,MIA,7,0,178,11.1,28.7,.386,1.3,4.2,.308,9.8,24.5,.400,4.2,5.5,.765,3.3,13.4,16.6,2.3,0.7,2.3,3.6,4.6,27.7,,92,102,beaslmi01
20,Mike Bibby,PG,30,ATL,11,11,390,7.3,15.8,.462,3.9,7.2,.542,3.4,8.7,.397,3.1,3.3,.955,0.9,4.6,5.5,6.9,1.5,0.3,3.6,5.1,21.7,,115,113,bibbymi01
21,Chauncey Billups*,PG,32,DEN,16,16,619,7.6,16.5,.457,3.7,7.9,.468,3.9,8.6,.447,8.9,9.8,.906,0.4,4.7,5.1,9.1,1.7,0.3,2.6,3.2,27.7,,135,110,billuch01
22,Steve Blake,PG,28,POR,6,6,231,5.4,11.1,.489,2.5,5.9,.417,3.0,5.2,.571,1.2,1.7,.714,1.0,5.0,5.9,9.2,1.2,0.0,2.2,2.7,14.6,,124,114,blakest01
23,Matt Bonner,PF,28,SAS,5,5,100,2.8,12.9,.217,1.7,7.3,.231,1.1,5.6,.200,1.1,1.1,1.000,3.4,5.6,9.0,0.0,1.7,1.1,1.1,5.6,8.4,,75,112,bonnema01
24,Carlos Boozer,PF,27,UTA,5,5,186,10.5,19.9,.528,0.0,0.0,,10.5,19.9,.528,7.5,9.7,.771,3.3,14.9,18.2,3.0,2.2,0.6,4.1,5.0,28.4,,110,109,boozeca01
25,Bruce Bowen,SF,37,SAS,5,2,130,3.0,5.6,.538,2.2,3.9,.556,0.9,1.7,.500,0.9,0.9,1.000,0.0,6.5,6.5,1.3,1.3,0.0,1.3,4.3,9.0,,124,114,bowenbr01
26,Ryan Bowen,SF,33,NOH,1,0,2,0.0,26.7,.000,0.0,0.0,,0.0,26.7,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0.0,,0,127,bowenry01
