--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Malik Allen,PF,25,MIA,10,0,138,8.9,19.7,.449,0.0,0.0,,8.9,19.7,.449,2.4,3.6,.667,4.8,7.2,12.1,1.6,0.8,3.6,1.6,8.5,20.1,,102,96,allenma01
2,Rafer Alston,PG,27,MIA,13,0,295,5.5,17.1,.319,2.3,9.8,.231,3.2,7.3,.436,4.0,4.7,.840,0.8,4.7,5.5,4.1,0.9,0.2,1.9,4.1,17.1,,96,102,alstora01
3,Chris Andersen,PF,25,DEN,5,0,34,4.6,13.9,.333,0.0,0.0,,4.6,13.9,.333,0.0,0.0,,9.3,12.4,21.6,3.1,1.5,3.1,3.1,4.6,9.3,,86,98,anderch01
4,Kenny Anderson,PG,33,IND,4,0,19,5.8,20.5,.286,0.0,0.0,,5.8,20.5,.286,0.0,0.0,,0.0,2.9,2.9,2.9,2.9,0.0,14.6,8.8,11.7,,36,96,anderke01
5,Shandon Anderson,SG,30,NYK,4,4,117,3.1,11.9,.259,0.9,3.1,.286,2.2,8.8,.250,0.4,0.9,.500,2.2,1.8,4.0,4.9,1.8,0.4,3.5,8.4,7.5,,67,107,andersh01
6,Carmelo Anthony*,SF,19,DEN,4,4,143,7.7,23.5,.328,0.7,4.0,.182,7.0,19.5,.358,5.9,7.3,.800,2.6,9.6,12.1,4.0,1.8,0.0,6.2,4.0,22.0,,81,102,anthoca01
7,Brandon Armstrong,SG,23,NJN,8,0,32,5.1,20.2,.250,0.0,1.7,.000,5.1,18.6,.273,0.0,0.0,,1.7,1.7,3.4,5.1,1.7,0.0,0.0,6.7,10.1,,71,100,armstbr01
8,Darrell Armstrong,PG,35,NOH,7,0,150,2.9,12.5,.235,1.8,9.2,.200,1.1,3.3,.333,1.1,1.1,1.000,2.2,3.3,5.5,5.9,2.2,0.0,4.8,3.7,8.8,,70,98,armstda01
9,Chucky Atkins,PG,29,BOS,4,4,133,6.7,15.3,.436,1.2,3.9,.300,5.5,11.4,.483,6.7,7.5,.895,1.2,4.3,5.5,5.9,1.2,0.0,3.9,0.8,21.2,,106,114,atkinch01
10,Stacey Augmon,SF,35,NOH,7,0,168,5.9,15.7,.375,0.0,0.3,.000,5.9,15.4,.383,5.2,5.9,.889,1.3,4.9,6.2,2.3,2.0,0.3,4.3,4.3,17.0,,85,97,augmost01
11,Vin Baker,PF,32,NYK,4,0,57,7.3,12.7,.571,0.0,0.0,,7.3,12.7,.571,5.4,8.2,.667,5.4,5.4,10.9,0.9,2.7,1.8,1.8,7.3,19.9,,120,102,bakervi01
12,Marcus Banks,PG,22,BOS,4,0,60,6.1,14.0,.438,1.7,4.4,.400,4.4,9.6,.455,3.5,3.5,1.000,0.9,5.2,6.1,6.1,1.7,0.9,2.6,7.8,17.4,,109,111,banksma01
13,Dana Barros,SG,36,BOS,1,0,1,0.0,52.3,.000,0.0,0.0,,0.0,52.3,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,119,barroda01
14,Jon Barry,SG,34,DEN,5,1,100,4.2,12.6,.333,1.6,4.7,.333,2.6,7.9,.333,1.1,1.6,.667,2.1,7.4,9.5,5.3,1.6,0.0,2.1,2.1,11.0,,95,104,barryjo01
15,Shane Battier,SF,25,MEM,4,0,69,4.9,12.1,.400,2.4,5.7,.429,2.4,6.5,.375,3.2,4.9,.667,4.9,4.9,9.7,0.8,0.0,0.8,3.2,13.8,15.4,,101,118,battish01
16,Jonathan Bender,SF,23,IND,16,0,200,7.8,19.2,.406,2.5,6.9,.360,5.3,12.2,.432,3.3,4.4,.750,2.8,5.0,7.8,1.9,0.6,3.9,3.3,5.3,21.4,,96,96,bendejo01
17,Mike Bibby,PG,25,SAC,12,12,497,8.7,20.3,.429,2.5,5.7,.436,6.2,14.6,.426,5.0,5.7,.873,0.9,4.2,5.2,8.7,2.4,0.5,3.6,4.1,24.8,,108,103,bibbymi01
18,Chauncey Billups*,PG,27,DET,23,23,881,7.0,18.1,.385,2.3,6.8,.346,4.6,11.3,.408,7.7,8.6,.890,0.9,3.5,4.4,8.6,2.0,0.1,3.8,3.6,23.9,,111,96,billuch01
19,Mark Blount,C,28,BOS,4,4,145,6.1,12.6,.486,0.0,0.0,,6.1,12.6,.486,5.1,6.9,.737,3.6,9.7,13.4,1.4,2.2,2.9,3.2,6.1,17.3,,102,105,blounma01
20,Bruce Bowen,SF,32,SAS,10,10,298,4.2,11.6,.365,2.0,5.4,.379,2.2,6.3,.353,0.6,2.4,.231,1.1,4.2,5.4,1.8,0.7,0.6,0.7,4.4,11.1,,97,103,bowenbr01
21,Ryan Bowen,PF,28,DEN,4,0,6,8.8,8.8,1.000,0.0,0.0,,8.8,8.8,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,,200,112,bowenry01
22,Earl Boykins,SG,27,DEN,5,0,121,12.2,27.4,.444,2.2,6.1,.357,10.0,21.3,.469,2.6,3.0,.857,2.6,2.6,5.2,8.3,2.2,0.4,2.6,2.6,29.1,,111,105,boykiea01
23,Shawn Bradley,C,31,DAL,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,,,111,bradlsh01
24,Devin Brown,SG,25,SAS,9,0,130,7.6,15.7,.486,2.5,4.2,.600,5.1,11.4,.444,4.2,7.2,.588,1.7,5.9,7.6,3.8,1.3,0.4,3.0,7.6,22.0,,111,101,brownde02
25,P.J. Brown,PF,34,NOH,7,7,256,5.6,15.3,.366,0.0,0.0,,5.6,15.3,.366,2.2,2.4,.909,6.2,8.4,14.6,3.2,0.6,2.4,2.8,3.4,13.3,,91,95,brownpj01
26,Kobe Bryant*,SG,25,LAL,22,22,973,10.8,26.2,.413,1.4,5.5,.247,9.5,20.7,.457,7.7,9.5,.813,1.0,4.9,5.9,6.9,2.4,0.4,3.5,3.4,30.7,,103,101,bryanko01
27,Rodney Buford,SF,26,SAC,5,0,32,8.0,19.3,.417,1.6,4.8,.333,6.4,14.4,.444,1.6,3.2,.500,0.0,8.0,8.0,4.8,3.2,0.0,0.0,3.2,19.3,,105,98,buforro01
28,Caron Butler,SF,23,MIA,13,13,511,6.4,16.6,.386,0.2,1.2,.182,6.2,15.4,.401,5.1,6.2,.825,2.0,10.0,12.0,3.4,3.0,0.8,2.5,4.9,18.2,,97,92,butleca01
29,Rasual Butler,SF,24,MIA,10,0,58,8.6,21.1,.409,2.9,8.6,.333,5.7,12.5,.462,0.0,0.0,,0.0,10.5,10.5,1.9,1.0,0.0,1.0,11.5,20.1,,98,97,butlera01
30,Marcus Camby,C,29,DEN,5,5,194,7.3,14.9,.491,0.3,0.5,.500,7.0,14.4,.491,2.2,3.8,.571,3.8,11.6,15.4,3.2,1.1,1.9,1.6,5.7,17.1,,111,100,cambyma01
31,Elden Campbell,C,35,DET,14,0,124,4.5,15.7,.286,0.0,0.0,,4.5,15.7,.286,4.5,8.1,.556,4.5,6.7,11.2,4.5,2.7,4.0,4.0,12.6,13.5,,78,88,campbel01
32,Maurice Carter,SG,27,NOH,1,0,2,0.0,27.5,.000,0.0,0.0,,0.0,27.5,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,106,cartema01
33,Sam Cassell,PG,34,MIN,16,15,497,10.1,21.7,.465,2.7,6.5,.417,7.4,15.3,.486,5.6,6.6,.852,0.3,4.0,4.3,7.5,1.3,0.3,4.6,5.7,28.5,,107,105,cassesa01
34,Kelvin Cato,PF,29,HOU,5,5,148,4.8,8.1,.591,0.0,0.0,,4.8,8.1,.591,1.1,2.6,.429,5.2,7.4,12.6,0.7,1.8,1.5,1.8,6.7,10.7,,111,98,catoke01
35,Doug Christie,SG,33,SAC,12,12,461,6.2,15.7,.397,1.4,3.7,.394,4.8,12.0,.398,4.6,5.3,.854,1.9,6.4,8.2,5.2,2.5,0.6,2.5,3.9,18.5,,105,101,chrisdo01
36,Jason Collins,C,25,NJN,11,11,266,2.8,7.7,.368,0.0,0.0,,2.8,7.7,.368,2.4,3.2,.750,3.7,5.3,8.9,3.4,0.6,2.0,3.0,9.9,8.1,,90,97,collija04
37,Brian Cook,C,23,LAL,13,0,46,6.0,18.1,.333,0.0,0.0,,6.0,18.1,.333,2.4,2.4,1.000,3.6,10.8,14.5,1.2,1.2,0.0,3.6,8.4,14.5,,75,99,cookbr01
38,Austin Croshere,PF,28,IND,13,2,214,4.9,14.3,.345,2.1,6.2,.333,2.9,8.0,.355,4.4,5.4,.810,3.4,7.0,10.4,3.1,1.0,0.8,1.6,4.4,16.3,,108,97,croshau01
39,Marquis Daniels,SG,23,DAL,5,5,184,8.7,20.3,.427,0.3,1.9,.143,8.4,18.4,.456,3.8,6.0,.636,2.7,5.7,8.4,4.1,2.7,0.8,4.1,3.8,21.4,,95,102,daniema01
40,Baron Davis,PG,24,NOH,7,7,260,9.1,24.2,.377,3.4,10.4,.327,5.7,13.8,.415,5.3,7.0,.758,1.3,4.9,6.1,10.4,2.3,1.1,4.0,4.4,26.9,,103,96,davisba01
41,Ricky Davis,SF,24,BOS,4,0,123,6.8,17.0,.400,1.7,4.3,.400,5.1,12.8,.400,4.7,6.8,.688,1.3,3.8,5.1,6.0,0.9,0.0,5.1,3.0,20.0,,91,115,davisri01
42,Tony Delk,SG,30,DAL,1,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,10.0,10.0,19.9,10.0,0.0,0.0,0.0,0.0,,213,84,delkto01
43,Vlade Divac*,C,35,SAC,12,12,235,6.8,15.5,.437,0.0,0.0,,6.8,15.5,.437,3.7,5.0,.739,4.8,8.1,12.9,4.8,0.9,1.1,3.1,6.8,17.3,,101,102,divacvl01
44,Michael Doleac,C,26,DEN,5,0,49,5.4,10.7,.500,0.0,0.0,,5.4,10.7,.500,0.0,0.0,,2.1,5.4,7.5,3.2,0.0,0.0,1.1,8.6,10.7,,109,108,doleami01
