--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Hassan Adams,SG,22,NJN,6,0,9,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,0.0,,0.0,6.0,6.0,0.0,0.0,0.0,0.0,18.0,12.0,,98,103,adamsha01
2,Maurice Ager,SG,22,DAL,3,0,24,10.7,19.3,.556,4.3,6.4,.667,6.4,12.9,.500,6.4,12.9,.500,2.1,4.3,6.4,0.0,0.0,0.0,0.0,6.4,32.2,,135,119,agerma01
3,Malik Allen,PF,28,CHI,5,0,34,3.2,19.0,.167,0.0,0.0,,3.2,19.0,.167,0.0,0.0,,6.3,4.7,11.1,1.6,1.6,1.6,4.7,11.1,6.3,,49,103,allenma01
4,Rafer Alston,PG,30,HOU,7,7,309,4.4,13.1,.338,2.8,8.9,.320,1.6,4.3,.375,1.8,2.3,.769,1.1,7.4,8.5,6.2,2.3,0.5,3.0,4.1,13.5,,95,102,alstora01
5,Carmelo Anthony*,SF,22,DEN,5,5,210,12.3,25.6,.480,2.3,4.7,.500,9.9,20.9,.475,8.1,10.2,.795,4.7,6.5,11.2,1.6,1.3,0.0,5.0,3.1,35.0,,111,109,anthoca01
6,Rafael Araújo,C,26,UTA,5,0,28,5.7,15.1,.375,0.0,0.0,,5.7,15.1,.375,9.4,22.6,.417,5.7,15.1,20.7,1.9,1.9,0.0,0.0,15.1,20.7,,103,101,araujra01
7,Trevor Ariza,SG,21,ORL,4,0,47,6.0,19.1,.313,0.0,0.0,,6.0,19.1,.313,1.2,4.8,.250,6.0,4.8,10.8,6.0,1.2,0.0,4.8,10.8,13.1,,74,115,arizatr01
8,Carlos Arroyo,PG,27,ORL,3,0,40,7.0,19.7,.357,0.0,2.8,.000,7.0,16.8,.417,2.8,2.8,1.000,2.8,4.2,7.0,8.4,1.4,0.0,1.4,5.6,16.8,,101,116,arroyca01
9,Kelenna Azubuike,SG,23,GSW,6,0,15,3.4,10.1,.333,0.0,3.4,.000,3.4,6.7,.500,6.7,6.7,1.000,3.4,10.1,13.4,0.0,3.4,0.0,0.0,3.4,13.4,,126,104,azubuke01
10,Marcus Banks,PG,25,PHO,2,0,7,0.0,14.6,.000,0.0,7.3,.000,0.0,7.3,.000,14.6,14.6,1.000,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,14.6,,96,115,banksma01
11,Leandro Barbosa,SG,24,PHO,11,1,349,9.4,23.1,.405,2.6,8.6,.305,6.7,14.5,.465,4.1,5.7,.718,1.0,4.5,5.6,3.5,1.8,0.3,3.2,4.4,25.4,,97,107,barbole01
12,J.J. Barea,PG,22,DAL,2,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,25.8,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,123,bareajo01
13,Andrea Bargnani,PF,21,TOR,6,3,181,6.5,13.6,.478,2.1,5.0,.412,4.4,8.6,.517,4.4,5.6,.789,0.9,6.2,7.1,1.8,1.5,0.9,2.1,4.7,19.5,,113,108,bargnan01
14,Matt Barnes,PF,26,GSW,11,3,330,6.9,15.3,.450,2.9,6.9,.422,4.0,8.4,.473,2.0,2.7,.722,4.0,5.6,9.6,4.0,2.4,0.6,3.1,6.7,18.6,,113,109,barnema02
15,Brent Barry,SG,35,SAS,19,0,225,5.0,14.4,.350,3.6,11.8,.306,1.4,2.6,.545,0.5,0.5,1.000,1.0,5.0,6.0,5.0,1.0,0.5,2.6,4.1,14.2,,98,107,barrybr01
16,Tony Battie,PF,30,ORL,4,4,87,4.5,11.6,.389,0.0,0.0,,4.5,11.6,.389,0.6,2.6,.250,1.9,8.4,10.3,0.6,0.0,0.0,0.0,7.7,9.7,,91,115,battito01
17,Shane Battier,SF,28,HOU,7,7,272,4.6,10.3,.451,3.8,8.7,.442,0.8,1.6,.500,1.4,1.6,.875,0.6,3.0,3.6,3.0,2.4,1.4,1.6,4.0,14.5,,121,104,battish01
