--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Ray Allen*,SG,24,MIL,5,5,186,11.6,26.0,.444,2.9,7.5,.385,8.7,18.5,.469,5.8,6.4,.909,2.9,6.6,9.5,3.8,2.3,0.0,2.6,2.9,31.8,,114,106,allenra02
2,Rafer Alston,PG,23,MIL,4,0,16,0.0,10.1,.000,0.0,3.4,.000,0.0,6.7,.000,0.0,6.7,.000,0.0,0.0,0.0,3.4,0.0,0.0,3.4,0.0,0.0,,11,116,alstora01
3,Nick Anderson,SG,32,SAC,5,5,132,4.4,13.5,.324,2.8,7.9,.350,1.6,5.5,.286,2.8,3.2,.875,1.6,5.2,6.7,0.8,0.4,1.2,1.6,3.6,14.3,,99,117,anderni01
4,Greg Anthony,PG,32,POR,15,0,213,5.0,13.6,.365,2.6,8.1,.323,2.4,5.5,.429,3.1,4.2,.750,0.5,3.7,4.2,6.6,3.4,1.0,3.1,7.1,15.7,,100,100,anthogr01
5,Stacey Augmon,SG,31,POR,7,0,34,6.6,19.7,.333,0.0,0.0,,6.6,19.7,.333,1.6,3.3,.500,0.0,3.3,3.3,0.0,0.0,0.0,0.0,9.9,14.8,,76,109,augmost01
6,Toby Bailey,SG,24,PHO,5,0,15,3.5,14.2,.250,0.0,0.0,,3.5,14.2,.250,7.1,14.2,.500,3.5,3.5,7.1,7.1,0.0,0.0,0.0,3.5,14.2,,98,108,baileto01
7,Vin Baker,C,28,SEA,5,4,177,9.1,22.8,.400,0.0,0.3,.000,9.1,22.5,.405,3.0,5.2,.588,4.9,6.7,11.6,3.0,1.5,0.6,4.9,5.8,21.3,,86,107,bakervi01
8,Brent Barry,SG,28,SEA,5,3,155,4.2,11.5,.364,2.8,6.9,.400,1.4,4.5,.308,3.5,4.9,.714,1.0,3.5,4.5,5.2,1.0,1.0,2.4,6.9,14.6,,108,109,barrybr01
9,Jon Barry,SG,30,SAC,5,0,102,4.6,10.8,.429,3.6,6.2,.583,1.0,4.6,.222,7.2,8.2,.875,1.0,5.1,6.2,6.2,1.5,0.0,2.1,3.6,20.0,,138,115,barryjo01
10,Jonathan Bender,SF,19,IND,9,0,21,10.3,15.4,.667,2.6,2.6,1.000,7.7,12.8,.600,7.7,15.4,.500,0.0,7.7,7.7,0.0,2.6,0.0,0.0,5.1,30.8,,137,104,bendejo01
11,Travis Best,PG,27,IND,23,0,463,9.0,20.9,.430,1.5,3.5,.433,7.5,17.4,.430,4.3,5.1,.841,1.7,4.9,6.6,7.7,2.2,0.5,2.9,7.1,23.8,,108,106,besttr01
