--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
1,Arron Afflalo,SG,24,DEN,6,6,120,8.3,13.3,.625,2.5,5.8,.429,5.8,7.5,.778,3.8,4.6,.818,0.4,4.6,5.0,2.9,0.4,0.8,1.7,8.8,22.9,,139,118,afflaar01
2,LaMarcus Aldridge,PF,24,POR,6,6,229,9.6,22.3,.430,0.2,0.5,.500,9.4,21.8,.429,7.9,10.6,.750,2.4,6.2,8.6,3.1,1.7,2.6,2.6,3.8,27.4,,105,116,aldrila01
3,Malik Allen,PF,31,DEN,4,0,11,0.0,4.5,.000,0.0,0.0,,0.0,4.5,.000,0.0,0.0,,9.1,4.5,13.6,0.0,4.5,0.0,0.0,9.1,0.0,,105,111,allenma01
4,Ray Allen*,SG,34,BOS,24,24,925,7.6,17.7,.431,3.3,8.4,.386,4.4,9.2,.472,4.0,4.7,.863,0.7,4.0,4.7,3.7,1.3,0.2,2.1,4.3,22.5,,111,106,allenra02
5,Tony Allen,SG,28,BOS,24,0,391,6.5,13.5,.480,0.0,0.7,.000,6.5,12.8,.505,3.9,5.0,.778,1.8,3.9,5.6,2.3,3.4,1.9,3.2,8.0,16.8,,98,99,allento01
6,Lou Amundson,PF,27,PHO,16,0,194,5.2,9.8,.528,0.0,0.0,,5.2,9.8,.528,2.4,5.7,.429,8.2,7.1,15.2,0.3,1.6,1.9,1.6,8.4,12.8,,118,111,amundlo01
7,Chris Andersen,PF,31,DEN,6,0,116,3.9,7.3,.529,0.0,0.0,,3.9,7.3,.529,3.9,6.0,.643,3.0,8.6,11.6,0.4,0.4,2.6,1.7,6.0,11.6,,114,114,anderch01
8,Ryan Anderson,PF,21,ORL,9,0,89,5.6,18.1,.310,2.5,8.7,.286,3.1,9.4,.333,0.6,0.6,1.000,5.0,14.3,19.3,1.9,1.2,1.2,3.1,7.5,14.3,,86,97,anderry01
9,Carmelo Anthony*,SF,25,DEN,6,6,254,12.6,27.2,.464,1.2,3.7,.316,11.4,23.4,.487,9.8,11.2,.877,2.8,7.3,10.0,3.9,2.4,0.6,4.1,5.1,36.2,,112,114,anthoca01
10,Joel Anthony,C,27,MIA,5,0,79,3.3,4.7,.714,0.0,0.0,,3.3,4.7,.714,2.0,2.7,.750,4.0,2.0,6.0,0.7,1.3,3.3,0.7,6.0,8.7,,149,105,anthojo01
11,Carlos Arroyo,PG,30,MIA,5,5,115,5.5,11.9,.462,0.0,0.5,.000,5.5,11.5,.480,0.9,0.9,1.000,0.9,3.2,4.1,5.0,1.4,0.0,1.4,4.1,11.9,,104,109,arroyca01
12,D.J. Augustin,PG,22,CHA,4,0,73,3.9,13.1,.294,1.5,4.6,.333,2.3,8.5,.273,3.9,4.6,.833,0.8,2.3,3.1,5.4,0.8,0.8,3.1,3.1,13.1,,88,116,augusdj01
13,Jeff Ayres,C,22,POR,3,0,17,6.5,12.9,.500,0.0,0.0,,6.5,12.9,.500,9.7,12.9,.750,6.5,0.0,6.5,0.0,6.5,9.7,3.2,3.2,22.6,,118,102,pendeje02
14,Leandro Barbosa,PG,27,PHO,16,0,250,9.1,21.7,.417,2.5,7.4,.343,6.5,14.4,.456,3.6,5.1,.708,0.4,4.0,4.4,4.2,1.1,0.4,3.2,7.0,24.3,,100,115,barbole01
15,J.J. Barea,PG,25,DAL,6,0,105,7.8,19.1,.405,2.1,5.2,.400,5.7,14.0,.407,0.5,1.6,.333,2.1,4.1,6.2,7.8,1.0,0.5,5.2,6.7,18.1,,89,109,bareajo01
16,Matt Barnes,SF,29,ORL,14,14,326,5.1,12.8,.400,2.0,5.4,.375,3.1,7.3,.419,2.9,3.4,.850,2.7,8.5,11.2,3.2,1.7,0.5,1.7,4.8,15.1,,114,100,barnema02
17,Brandon Bass,PF,24,ORL,7,0,42,9.2,17.2,.538,0.0,0.0,,9.2,17.2,.538,6.6,7.9,.833,2.6,7.9,10.6,1.3,0.0,0.0,1.3,2.6,25.1,,125,105,bassbr01
18,Nicolas Batum,SF,21,POR,6,6,139,6.7,14.6,.459,3.6,8.3,.429,3.2,6.3,.500,2.4,3.2,.750,1.6,5.9,7.5,2.0,0.8,0.0,1.6,5.1,19.4,,118,121,batumni01
19,Jerryd Bayless,SG,21,POR,6,2,166,9.3,21.5,.431,2.0,5.0,.400,7.3,16.6,.440,6.3,7.9,.792,1.3,4.0,5.3,7.6,0.7,0.0,2.6,7.0,26.8,,112,122,bayleje01
20,Michael Beasley,PF,21,MIA,5,5,135,8.6,19.1,.449,0.4,0.8,.500,8.2,18.4,.447,2.7,3.5,.778,3.9,7.4,11.3,1.2,1.6,0.0,5.1,3.9,20.3,,87,106,beaslmi01
21,Rodrigue Beaubois,PG,21,DAL,4,0,31,15.8,33.3,.474,3.5,10.5,.333,12.3,22.8,.538,1.8,5.3,.333,3.5,7.0,10.5,7.0,0.0,0.0,5.3,8.8,36.8,,100,110,beaubro01
22,Charlie Bell,SG,30,MIL,3,0,8,0.0,14.0,.000,0.0,7.0,.000,0.0,7.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,,0,118,bellch01
23,Mike Bibby,PG,31,ATL,11,11,292,6.9,15.3,.450,2.7,6.5,.412,4.2,8.8,.478,1.3,1.9,.700,1.0,4.4,5.4,5.4,1.7,0.0,2.3,5.0,17.8,,111,114,bibbymi01
24,Chauncey Billups*,PG,33,DEN,6,6,207,8.9,20.1,.446,2.7,7.5,.355,6.3,12.6,.500,8.9,10.1,.881,0.2,3.1,3.4,9.2,1.4,0.7,4.3,5.8,29.5,,117,117,billuch01
